rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR003152","Ran Om","lil tecca","","","","31","2019-06-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003177","Good Thing","sage the gemini","","","","8","2015-07-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003228","If I Were You","toby beau","","","","4","1980-07-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003376","High Energy","evelyn thomas","","","","5","1984-09-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003440","Please Don'T Fight It","dino, desi","","","","7","1965-12-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003548","Con Calma","daddy yankee","","","","25","2019-02-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003571","Flow Joe","fat joe","","","","2","1993-10-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003585","Mr Perfectly Fine Taylor'S Version From The Vault","taylor swift","","","","3","2021-04-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003610","Never Had A Dream Come True","s club 7","","","","20","2001-03-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003622","Can'T Stop This Thing We Started","bryan adams","","","","20","1991-09-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003743","Orange Soda","baby keem","","","","3","2020-01-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003810","All The Love I'Ve Got","marv johnson","","","","6","1960-06-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003909","Nobody'S Love","maroon 5","","","","10","2020-08-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003964","If My Pillow Could Talk","connie francis","","","","9","1963-05-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004048","Everyone'S Agreed That Everything Will Turn Out Fine","stealers wheel","","","","8","1973-07-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004078","Everything You Do You'Re Sexing Me","fiona","","","","12","1989-11-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004081","Tgif","glorilla","","","","22","2024-07-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004091","2 Hands","tate mcrae","","","","3","2024-11-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004110","Say Say Say","paul mccartney and michael jackson","","","","22","1983-10-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004194","Fix'N To Break","bailey zimmerman","","","","1","2023-02-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004217","Holly Holy","jr. walker","","","","5","1970-12-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004261","That Thing You Do From That Thing You Do","The Wonders","","","","15","1996-10-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004306","You'Ve Lost That Lovin' Feelin'","long john baldry","","","","3","1979-08-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004410","This Gift","98 degrees","","","","3","2000-01-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004585","I Won'T Hold You Back","toto","","","","17","1983-03-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004600","House Of The Rising Sun","santa esmeralda","","","","3","1978-04-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004653","Who'S Afraid Of Virginia Woolf Part I","jimmy smith","","","","5","1964-04-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004685","I'M Livin' In Shame","diana ross","","","","8","1969-01-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004782","I'M Not Afraid","ricky nelson","","","","8","1960-09-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004813","Sometimes I Rhyme Slow","nice","","","","18","1992-05-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004814","Pero Tu","karol g","","","","1","2023-03-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004845","The Lonely One","special delivery","","","","8","1976-05-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004932","Love On The Phone","suzanne fellini","","","","2","1980-03-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004994","7 30 Guided Tour","The Five Americans","","","","2","1968-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005071","John Doe","public announcement","","","","3","2001-09-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005072","Born Free","The Hesitations","","","","10","1968-01-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005102","What Do You Want With Me","chad","","","","8","1965-04-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005187","Ups And Downs","paul revere","","","","8","1967-02-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005208","Manslaughter","pop smoke","","","","1","2021-07-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005235","I'M Gonna Love Her For Both Of Us","meat loaf","","","","3","1981-09-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005238","Cradle Of Love From Ford Fairlane","billy idol","","","","24","1990-05-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005241","Hibachi","roddy ricch","","","","1","2022-01-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005478","Por Amor Viviremos","captain","","","","6","1975-08-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005594","My Country","jud strunk","","","","4","1974-09-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005609","Devil With A Blue Dress On Good Golly Miss Molly","mitch ryder and the detroit wheels","","","","16","1966-10-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005626","Can'T Believe It","t-pain","","","","24","2008-08-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005800","Up Until Now","johnnie ray","","","","3","1958-09-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005985","We'Re Doing Fine","dee dee warwick","","","","1","1965-08-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006092","Ring The Living Bell","melanie","","","","9","1972-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006165","I Don'T Wanna Cry","mariah carey","","","","19","1991-04-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006179","Missing You","dan fogelberg","","","","16","1982-10-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006189","Thunder And Lightning","chi coltrane","","","","13","1972-09-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006219","Rehab","glee cast","","","","1","2009-06-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006225","I Don'T Let Go","xxxtentacion","","","","1","2018-12-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006248","Where Are You","frankie avalon","","","","12","1960-06-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006261","There'S So Much Love All Around Me","The Three Degrees","","","","2","1971-05-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006295","44 Bulldog","pop smoke","","","","2","2020-07-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006401","Hot Boy","bobby shmurda","","","","25","2014-08-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006418","I Love You","billie eilish","","","","1","2019-04-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006620","Looking Through The Eyes Of Love","The Partridge Family Starring Shirley Jones","","","","8","1972-12-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006635","Baby Don'T Go","fabolous","","","","20","2007-09-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006691","Don'T Be A Drop Out","james brown and the famous flames","","","","7","1966-10-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006750","Tossing Turning","The Ivy League","","","","5","1965-09-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006951","Pepe","duane eddy his twangy guitar and the rebels","","","","12","1960-12-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007180","A Song Of Joy Himno A La Alegria","miguel rios","","","","9","1970-06-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007185","Only In America","jay","","","","11","1963-08-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007218","Slow Love","doc box","","","","15","1990-07-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007231","I Was Checkin' Out She Was Checkin' In","don covay","","","","10","1973-07-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007248","Me To Me","morgan wallen","","","","1","2023-03-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007276","Needle","nicki minaj","","","","4","2023-12-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007322","Love In Every Room","paul mauriat and his orchestra","","","","6","1968-05-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007562","Everyotherday","or-n-more","","","","8","1991-08-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007624","Mistaken Identity","kim carnes","","","","6","1981-10-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007644","I'Ll Be Around","rappin' 4-tay","","","","16","1995-03-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007667","Night Pulse","double image","","","","3","1983-07-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007704","Someday From The Hunchback Of Notre Dame","all-4-one","","","","15","1996-06-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007763","Shakin' All Over","The Guess Who","","","","11","1965-05-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR007800","A Million To One","five stairsteps","","","","6","1968-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008035","He'S A Bad Boy","carole king","","","","3","1963-04-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008080","Shiny Shiny","haysi fantayzee","","","","5","1983-07-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008100","C'Mon N' Ride It The Train","quad city dj's","","","","42","1996-03-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008119","The A Team","ssgt barry sadler","","","","7","1966-04-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008151","What Kind Of Fool Do You Think I Am","The Tams","","","","14","1963-12-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008179","Don'T You Write Her Off","mcguinn, clark","","","","11","1979-03-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008211","Fall On Me","r.e.m","","","","3","1986-10-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008323","Bitch Don'T Kill My Vibe","kendrick lamar","","","","21","2013-01-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008423","August","taylor swift","","","","2","2020-08-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008518","Holding On When Love Is Gone","l.t.d","","","","10","1978-08-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008628","Just Because","The Mcguire Sisters","","","","1","1961-11-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008633","Bad Things","machine gun kelly x camila cabello","","","","23","2016-11-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008679","Scholarships","drake","","","","7","2015-10-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008732","You'Re A Lady","peter skellern","","","","8","1972-11-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008768","Say Has Anybody Seen My Sweet Gypsy Rose","dawn","","","","16","1973-07-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008775","Do Da What","1 of the girls","","","","4","1993-06-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008811","This Is The Way We Roll","m.c. hammer","","","","3","1992-05-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008943","My Heart'S Symphony","gary lewis and the playboys","","","","7","1966-07-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR008984","Bad Boy For Life","p. diddy, black rob","","","","12","2001-07-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009088","I Love You","The Volume's","","","","12","1962-04-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009127","Mood Swings","a boogie wit da hoodie","","","","1","2019-09-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009137","I'M Not Gonna Cry Anymore","nancy brooks","","","","4","1979-03-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009240","Cassandra","taylor swift","","","","2","2024-05-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009246","Miss Broadway","belle epoque","","","","4","1978-03-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009264","I'M Your Puppet","james","","","","14","1966-09-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009365","I Just Thought You'D Like To Know","johnny cash and the tennessee two","","","","1","1958-12-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009506","Wanna Be Loved","The Red Clay Strays","","","","1","2024-08-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009538","Thou Shalt Not Steal","dick and deedee","","","","13","1964-11-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009636","His Hers","internet money, don toliver","","","","1","2021-05-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009679","It'S Alright It'S Ok","ashley tisdale","","","","1","2009-05-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009687","Big Bruce","steve greenberg","","","","3","1969-07-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009698","Stop Playing With Me","tyler, the creator","","","","2","2025-08-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009702","Long Live","florida georgia line","","","","17","2021-01-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009703","Nobody Gets Me","sza","","","","17","2022-12-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR009919","The Greatest Show","hugh jackman, keala settle, zac efron, zendaya","","","","4","2018-01-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010024","Somebody'S Hero","jamie o'neal","","","","17","2005-07-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010210","If I'M Lyin I'M Flyin","kodak black","","","","3","2018-10-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010233","It'S Too Late","wilson pickett","","","","10","1963-07-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010301","Forget Me","lewis capaldi","","","","14","2022-10-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010349","Tell Me What'S It Gonna Be","brian mcknight","","","","5","2002-04-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010421","What If I Told You That I Love You","ali gatie","","","","1","2020-02-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010499","This I Swear","The Skyliners","","","","12","1959-05-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010520","Back To The Streets","saweetie","","","","13","2020-11-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010585","Because I Love You","billy stewart","","","","2","1966-01-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010679","Or Nah","Ty Dolla $ign","","","","20","2014-03-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010701","Somewhere My Love","ray conniff and the singers","","","","12","1966-06-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010839","I Like What You'Re Doing To Me","carla thomas","","","","11","1969-02-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010852","Amg","gabito ballesteros, peso pluma","","","","20","2023-02-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010862","Forever","rod wave","","","","1","2022-08-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR010892","Lookin' For That Girl","tim mcgraw","","","","4","2014-04-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
