rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR001759","Like I Want You","giveon","","","","4","2021-02-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001789","Stop Look What You'Re Doing","carla thomas","","","","3","1965-07-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001900","Thank God","kane brown","","","","42","2022-09-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001941","Making Every Minute Count","spanky and our gang","spanky and our gang","Spanky And Our Gang | Spanky's Greatest Hit(s)","1967","7","1967-08-19","1","AMBIGUOUS","70","multiple_albums"
"RVTR001951","Love Walks In","van halen","van halen","5150","1986","15","1986-08-09","1","VALID","0",""
"RVTR001964","Eazy","The Game","","","","3","2022-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001994","Love Fire","jigsaw","","","","11","1976-02-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002007","The Rain The Park Other Things","The Cowsills","","","","16","1967-09-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002068","Hey Lonely One","baby washington","","","","1","1963-10-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002077","Just In Case","jaheim","jaheim","Classic Jaheim Vol. 1","2008","20","2001-06-30","1","VALID","0",""
"RVTR002185","I Got A Woman","freddie scott","","","","7","1963-11-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002216","Slay3R","playboi carti","","","","1","2021-01-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002282","Right Back Where We Started From","sinitta","","","","4","1989-09-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002292","Diamond Ring","jerry wallace","","","","4","1958-12-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002319","Signs","drake","","","","6","2017-07-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002323","That'S All She Wrote","t.i","","","","5","2010-12-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002344","Wrapped Around Your Finger","The Police","The Police","Synchronicity | The Police","1983","16","1984-01-07","1","AMBIGUOUS","70","multiple_albums"
"RVTR002390","99 9 Sure I'Ve Never Been Here Before","brian mccomas","brian mccomas","Brian McComas","2003","11","2003-07-12","1","VALID","0",""
"RVTR002411","4 5 6","sole","","","","16","1999-10-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002416","I Put A Spell On You","alan price set","","","","3","1966-07-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002422","Best Friend","young thug","","","","20","2015-12-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002428","A Swingin' Safari","billy vaughn and his orchestra","","","","12","1962-07-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002457","For The Love Of Him","bobbi martin","bobbi martin","For The Love Of Him","1970","14","1970-03-14","1","VALID","0",""
"RVTR002490","Missed Opportunity","daryl hall undefined john oates","","","","11","1988-07-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002498","No Charge","melba montgomery","","","","10","1974-04-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002528","Angel","rod stewart","rod stewart","Best Rod Stewart | Never A Dull Moment | Storyteller/Complete Anthology: 1964-1990","1972","7","1972-11-18","1","AMBIGUOUS","70","multiple_albums"
"RVTR002531","Don'T Take Your Guns To Town","johnny cash","johnny cash","The Legend Of Johnny Cash: Vol. II","2006","12","1959-01-17","1","VALID","0",""
"RVTR002541","I'Ll See Him Through","tammy wynette","","","","2","1970-01-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002562","Breakthrough","bridgit mendler, adam hicks, naomi scott","","","","1","2011-05-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002651","Young Birds Fly","The Cryan' Shames","The Cryan' Shames","A Scratch In The Sky","1968","2","1968-06-22","1","VALID","0",""
"RVTR002662","My Sweet Summer Suite","love unlimited orchestra","love unlimited orchestra","My Sweet Summer Suite","1976","11","1976-09-11","1","VALID","0",""
"RVTR002771","Save Me The Trouble","dan + shay","","","","13","2023-07-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002814","Fine Again","seether","seether","Disclaimer | Disclaimer II | Seether: 2002-2013","2002","20","2002-12-28","1","AMBIGUOUS","70","multiple_albums"
"RVTR002832","Big Machine","goo goo dolls","goo goo dolls","Gutterflower | Live In Buffalo - July 4th 2004","2002","6","2002-09-07","1","AMBIGUOUS","70","multiple_albums"
"RVTR002839","Steppin' In A Slide Zone","The Moody Blues","","","","8","1978-07-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002847","Shallow","lady gaga","","","","45","2018-10-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR002857","If Only I Had My Mind On Something Else","bee gees","bee gees","Cucumber Castle","1970","3","1970-03-28","1","VALID","0",""
"RVTR002877","Paper Mache","dionne warwick","dionne warwick","I'll Never Fall In Love Again","1970","7","1970-07-11","1","VALID","0",""
"RVTR002978","My Life","billy joel","billy joel","12 Gardens Live | 2000 Years -- The Millennium Concert | 52nd Street | Live At Shea Stadium: The Concert | Opus Collection | The Hits","1978","19","1978-11-04","1","AMBIGUOUS","70","multiple_albums"
"RVTR003001","Here With Me","d4vd","","","","10","2023-01-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003019","Boom Clap","charli xcx","charli xcx","Sucker","2015","25","2014-06-21","1","VALID","0",""
"RVTR003052","Wanted You More","lady antebellum","lady antebellum","Own The Night","2011","5","2011-09-24","1","VALID","0",""
"RVTR003062","Havin' Fun","dion","","","","6","1961-02-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003095","Mandrill","mandrill","mandrill","The Best Of Mandrill","1975","3","1971-06-05","1","VALID","0",""
"RVTR003110","Keep Your Eye On Me","herb alpert","herb alpert","Keep Your Eye On Me","1987","10","1987-02-28","1","VALID","0",""
"RVTR003152","Ran Om","lil tecca","","","","31","2019-06-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003177","Good Thing","sage the gemini","","","","8","2015-07-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003183","Rub You The Right Way","johnny gill","johnny gill","Johnny Gill","1990","23","1990-05-12","1","VALID","0",""
"RVTR003228","If I Were You","toby beau","","","","4","1980-07-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003270","Change Clothes","jay-z","jay-z","The Black Album | The Black Album: Acappella","2003","18","2003-11-15","1","AMBIGUOUS","70","multiple_albums"
"RVTR003362","Out Of Sight Out Of Mind","little anthony and the imperials","little anthony and the imperials","The Best Of Little Anthony & The Imperials","1966","9","1969-07-26","1","VALID","0",""
"RVTR003376","High Energy","evelyn thomas","","","","5","1984-09-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003384","In Thee","blue oyster cult","blue oyster cult","Mirrors","1979","4","1979-09-08","1","VALID","0",""
"RVTR003428","Who Dat","jt money","jt money","Pimpin On Wax","1999","20","1999-04-24","1","VALID","0",""
"RVTR003440","Please Don'T Fight It","dino, desi","","","","7","1965-12-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003521","Addicted To Love","robert palmer","robert palmer","Riptide","1985","22","1986-02-08","1","VALID","0",""
"RVTR003548","Con Calma","daddy yankee","","","","25","2019-02-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003571","Flow Joe","fat joe","","","","2","1993-10-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003583","Can'T Get Enough","bad company","bad company","Bad Company | Live 1977 / Live 1979","1974","15","1974-08-17","1","AMBIGUOUS","70","multiple_albums"
"RVTR003585","Mr Perfectly Fine Taylor'S Version From The Vault","taylor swift","","","","3","2021-04-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003593","You Can'T Roller Skate In A Buffalo Herd","roger miller","roger miller","Roger Miller","1969","6","1966-06-25","1","VALID","0",""
"RVTR003610","Never Had A Dream Come True","s club 7","","","","20","2001-03-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003622","Can'T Stop This Thing We Started","bryan adams","","","","20","1991-09-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003639","Still The One","orleans","orleans","Waking & Dreaming","1976","18","1976-07-31","1","VALID","0",""
"RVTR003641","Linda On My Mind","conway twitty","conway twitty","25 Number Ones","2004","8","1975-02-22","1","VALID","0",""
"RVTR003743","Orange Soda","baby keem","","","","3","2020-01-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003807","Winner Takes It All","sammy hagar","sammy hagar","The Essential Red Collection","2004","14","1987-02-14","1","VALID","0",""
"RVTR003810","All The Love I'Ve Got","marv johnson","","","","6","1960-06-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003909","Nobody'S Love","maroon 5","","","","10","2020-08-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003964","If My Pillow Could Talk","connie francis","","","","9","1963-05-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR003974","The Boys Are Back In Town","thin lizzy","thin lizzy","Jailbreak | Live And Dangerous","1976","17","1976-05-15","1","AMBIGUOUS","70","multiple_albums"
"RVTR004044","Go Home","stevie wonder","stevie wonder","In Square Circle","1985","17","1985-11-23","1","VALID","0",""
"RVTR004048","Everyone'S Agreed That Everything Will Turn Out Fine","stealers wheel","","","","8","1973-07-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004070","Charlene","anthony hamilton","anthony hamilton","Comin' From Where I'm From","2003","22","2004-09-04","1","VALID","0",""
"RVTR004078","Everything You Do You'Re Sexing Me","fiona","","","","12","1989-11-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004081","Tgif","glorilla","","","","22","2024-07-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004091","2 Hands","tate mcrae","","","","3","2024-11-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004110","Say Say Say","paul mccartney and michael jackson","","","","22","1983-10-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004194","Fix'N To Break","bailey zimmerman","","","","1","2023-02-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004217","Holly Holy","jr. walker","","","","5","1970-12-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004218","Road Less Traveled","lauren alaina","lauren alaina","Road Less Traveled","2017","12","2017-02-11","1","VALID","0",""
"RVTR004237","Hold On","good charlotte","good charlotte","The Young And The Hopeless","2002","5","2004-02-14","1","VALID","0",""
"RVTR004261","That Thing You Do From That Thing You Do","The Wonders","","","","15","1996-10-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004298","Piece By Piece","The Tubes","The Tubes","The Tubes","1975","2","1985-03-09","1","VALID","0",""
"RVTR004306","You'Ve Lost That Lovin' Feelin'","long john baldry","","","","3","1979-08-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004410","This Gift","98 degrees","","","","3","2000-01-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004413","Love Rollercoaster","ohio players","ohio players","Fire | Honey | Ohio Players Gold","1974","16","1975-11-15","1","AMBIGUOUS","70","multiple_albums"
"RVTR004585","I Won'T Hold You Back","toto","","","","17","1983-03-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004600","House Of The Rising Sun","santa esmeralda","","","","3","1978-04-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004611","All Day And All Of The Night","The Kinks","The Kinks","Kinks-Size | One For The Road | The Kinks Greatest Hits!","1965","12","1964-12-26","1","AMBIGUOUS","70","multiple_albums"
"RVTR004653","Who'S Afraid Of Virginia Woolf Part I","jimmy smith","","","","5","1964-04-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004664","Yesterday'S Rain","spanky and our gang","spanky and our gang","Anything You Choose/Without Rhyme Or Reason | Spanky's Greatest Hit(s)","1969","3","1968-12-07","1","AMBIGUOUS","70","multiple_albums"
"RVTR004685","I'M Livin' In Shame","diana ross","","","","8","1969-01-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004782","I'M Not Afraid","ricky nelson","","","","8","1960-09-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004784","Find A Way","dwele","dwele","Subject","2003","12","2003-09-20","1","VALID","0",""
"RVTR004813","Sometimes I Rhyme Slow","nice","","","","18","1992-05-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004814","Pero Tu","karol g","","","","1","2023-03-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004845","The Lonely One","special delivery","","","","8","1976-05-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004868","The Light","common","common","Like Water For Chocolate","2000","19","2000-08-05","1","VALID","0",""
"RVTR004932","Love On The Phone","suzanne fellini","","","","2","1980-03-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR004994","7 30 Guided Tour","The Five Americans","","","","2","1968-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005071","John Doe","public announcement","","","","3","2001-09-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005072","Born Free","The Hesitations","","","","10","1968-01-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005102","What Do You Want With Me","chad","","","","8","1965-04-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005187","Ups And Downs","paul revere","","","","8","1967-02-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005208","Manslaughter","pop smoke","","","","1","2021-07-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005209","Keep It Together","madonna","madonna","Like A Prayer","1989","13","1990-02-03","1","VALID","0",""
"RVTR005225","Big Talk","warrant","warrant","Dirty Rotten Filthy Stinking Rich","1989","4","1989-11-04","1","VALID","0",""
"RVTR005235","I'M Gonna Love Her For Both Of Us","meat loaf","","","","3","1981-09-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005238","Cradle Of Love From Ford Fairlane","billy idol","","","","24","1990-05-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005241","Hibachi","roddy ricch","","","","1","2022-01-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005272","With You","jessica simpson","jessica simpson","In This Skin","2003","23","2003-12-27","1","VALID","0",""
"RVTR005300","Brown Arms In Houston","orpheus","orpheus","Joyful","1969","3","1969-05-31","1","VALID","0",""
"RVTR005324","Creep","radiohead","radiohead","Pablo Honey | The Best Of","1993","20","1993-06-26","1","AMBIGUOUS","70","multiple_albums"
"RVTR005337","End Game","taylor swift","taylor swift","reputation","2017","13","2017-12-09","1","VALID","0",""
"RVTR005377","Face The Face","pete townshend","pete townshend","White City - A Novel","1985","16","1985-11-09","1","VALID","0",""
"RVTR005397","Drunk In Love","beyonce","beyonce","Beyonce","2013","20","2014-01-04","1","VALID","0",""
"RVTR005411","Again","faith evans","faith evans","The First Lady","2005","14","2005-03-26","1","VALID","0",""
"RVTR005414","Groovy Situation","gene chandler","gene chandler","The Gene Chandler Situation","1970","15","1970-07-11","1","VALID","0",""
"RVTR005419","Soul Makossa","afrique","afrique","Soul Makossa","1973","9","1973-06-09","1","VALID","0",""
"RVTR005478","Por Amor Viviremos","captain","","","","6","1975-08-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005487","No Smoke","youngboy never broke again","youngboy never broke again","AI YoungBoy","2017","17","2017-12-09","1","VALID","0",""
"RVTR005579","The Ballad Of John And Yoko","The Beatles","The Beatles","Hey Jude | Past Masters | The Beatles 1967-1970","1970","9","1969-06-14","1","AMBIGUOUS","70","multiple_albums"
"RVTR005594","My Country","jud strunk","","","","4","1974-09-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005609","Devil With A Blue Dress On Good Golly Miss Molly","mitch ryder and the detroit wheels","","","","16","1966-10-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005626","Can'T Believe It","t-pain","","","","24","2008-08-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005646","Chains","nick jonas","nick jonas","Nick Jonas","2014","20","2015-02-14","1","VALID","0",""
"RVTR005653","Rings","cymarron","cymarron","Rings","1971","12","1971-06-12","1","VALID","0",""
"RVTR005760","You'Re Like Comin' Home","lonestar","lonestar","Lonestar","1996","11","2005-09-24","1","VALID","0",""
"RVTR005800","Up Until Now","johnnie ray","","","","3","1958-09-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR005817","Maria Elena","los indios tabajaras","los indios tabajaras","Maria Elena","1963","14","1963-09-21","1","VALID","0",""
"RVTR005837","Gypsy Road","cinderella","cinderella","Long Cold Winter","1988","7","1989-08-05","1","VALID","0",""
"RVTR005985","We'Re Doing Fine","dee dee warwick","","","","1","1965-08-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006092","Ring The Living Bell","melanie","","","","9","1972-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR006113","Lust For Life","lana del rey","lana del rey","Lust For Life","2017","1","2017-05-13","1","VALID","0",""
"RVTR006125","Me Myself And I","beyonce","beyonce","Dangerously In Love","2003","24","2003-11-15","1","VALID","0",""
