billboard_title,billboard_artist,graph_track_id,rvtr,year_match_status,vdj_performance_universe_status,workspace_bucket_current,workspace_bucket_correct,exclusion_category,reason_excluded_from_in_both,has_ops_video_link,manual_override,linked_media_count,best_match_label,best_match_year_text,best_match_source_path,parsed_vdj_year,passes_performance_year_filter,passes_decade_folder_filter,passes_ops_video_filter
Ruby Tuesday,The Rolling Stones,15008,RVTR392037,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Rolling Stones · Ruby Tuesday,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - Ruby Tuesday.mp4,1967,true,true,true
All You Need Is Love,The Beatles,12765,RVTR276702,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,The Beatles · All You Need Is Love,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - All You Need Is Love.mp4,1967,true,true,true
I'm A Believer,The Monkees,13805,RVTR357804,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,true,2,The Monkees · I'm A Believer,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Monkees - I'm A Believer.mp4,1967,true,true,true
Penny Lane,The Beatles,25344,RVTR388600,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,The Beatles · Penny Lane,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Penny Lane.mp4,1967,true,true,true
Daydream Believer,The Monkees,4482,RVTR013038,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,1,Monkees · Daydream Believer,,,,false,false,false
Can't Take My Eyes Off You,frankie valli,1517,RVTR523749,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Frankie Valli · Can't Take My Eyes Off You,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Frankie Valli - Can't Take My Eyes Off You.mp4,1967,true,true,true
Never My Love,The Association,31331,RVTR992837,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Association · Never My Love,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Association - Never My Love.mp4,1967,true,true,true
"The Rain, The Park & Other Things",The Cowsills,1335,RVTR002007,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,"The Cowsills · The Rain, The Park & Other Things",1966,"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Cowsills - The Rain, The Park & Other Things.mp4",1966,false,true,true
Georgy Girl,The Seekers,29021,RVTR704537,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,The Seekers · Georgy Girl,1968,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Seekers - Georgy Girl.mp4,1968,false,true,true
Dedicated To The One I Love,The Mamas,1723,RVTR499822,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,0,The Mamas and The Papas · Dedicated To The One I Love,,,,false,false,false
Snoopy Vs. The Red Baron,The Royal Guardsmen,2998,RVTR494013,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,0,The Royal Guardsmen ‎ · Snoopy Vs  The Red Baron,,,,false,false,false
Baby I Need Your Lovin',johnny rivers,1498,RVTR344045,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,1,"Johnny Rivers · Baby, I Need Your Lovin'",,,,false,false,false
San Francisco (Be Sure To Wear Flowers In Your Hair),scott mckenzie,14152,RVTR778787,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Scott McKenzie · San Francisco,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Scott McKenzie - San Francisco.mp4,1967,true,true,true
There's A Kind Of Hush,herman's hermits,20127,RVTR426420,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Herman's Hermits · There's A Kind Of Hush,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Herman's Hermits - There's A Kind Of Hush.mp4,1967,true,true,true
Winchester Cathedral,The New Vaudeville Band,10037,RVTR853409,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,The New Vaudeville Band · Winchester Cathedral,1966,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The New Vaudeville Band - Winchester Cathedral.mp4,1966,false,true,true
A Whiter Shade Of Pale,procol harum,181,RVTR866924,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,3,Procol Harum · A Whiter Shade Of Pale,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Procol Harum - A Whiter Shade Of Pale.mp4,1967,true,true,true
Western Union,The Five Americans,28260,RVTR019457,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,The Five Americans · Western Union,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Five Americans - Western Union.mp4,1967,true,true,true
Creeque Alley,The Mamas,24733,RVTR071554,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,0,The Mamas and The Papas · Creque Alley,,,,false,false,false
Sugar Town,nancy sinatra,22580,RVTR588959,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Nancy Sinatra · Sugar Town,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatra - Sugar Town.mp4,1967,true,true,true
That's Life,frank sinatra,23807,RVTR508970,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,1,Frank Sinatra · That's Life,1966,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Frank Sinatra - That's Life.mp4,1966,false,true,true
You Got What It Takes,The Dave Clark Five,14908,RVTR972768,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Dave Clark Five · You Got What It Takes,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Dave Clark Five - You Got What It Takes.mp4,1967,true,true,true
White Rabbit,jefferson airplane,16765,RVTR099034,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Jefferson Airplane · White Rabbit,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Jefferson Airplane - White Rabbit.mp4,1967,true,true,true
Strawberry Fields Forever,The Beatles,9073,RVTR139738,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Beatles · Strawberry Fields Forever,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Strawberry Fields Forever.mp4,1967,true,true,true
"Bend Me, Shape Me",The American Breed,31371,RVTR755430,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,1,"The American Breed · Bend Me, Shape Me",1968,"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The American Breed - Bend Me, Shape Me.mp4",1968,false,true,true
I Can See For Miles,The Who,15618,RVTR215390,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,The Who · I Can See For Miles,1969,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Who - I Can See For Miles.mp4,1969,false,true,true
Brown Eyed Girl,van morrison,28196,RVTR956292,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,3,Van Morrison · Brown Eyed Girl,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Van Morrison - Brown Eyed Girl.mp4,1967,true,true,true
Mellow Yellow,donovan,6113,RVTR269641,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Donovan · Mellow Yellow,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Donovan - Mellow Yellow.mp4,1967,true,true,true
Silence Is Golden,The Tremeloes,20148,RVTR430603,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,The Tremeloes · Silence Is Golden,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Tremeloes - Silence Is Golden.mp4,1967,true,true,true
"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)",bee gees,7558,RVTR176377,matched,excluded,chart_only,chart_only,decade_folder_mismatch,Linked ops VIDEO year_text may be 1967 but path not under /1960s/ or /1967/,true,false,1,Bee Gees · New York Mining Disaster 1941,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bee Gees - New York Mining Disaster 1941.mp4,1967,true,false,true
Summer Rain,johnny rivers,10946,RVTR173495,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Johnny Rivers · Summer Rain,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Johnny Rivers - Summer Rain.mp4,1967,true,true,true
Talk Talk,The Music Machine,17055,RVTR252027,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,1,The Music Machine · Talk Talk,1966,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Music Machine - Talk Talk.mp4,1966,false,true,true
To Love Somebody,bee gees,11892,RVTR604727,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Bee Gees · To Love Somebody,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bee Gees - To Love Somebody.mp4,1967,true,true,true
Good Vibrations,The Beach Boys,567,RVTR757147,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,5,The Beach Boys · Good Vibrations,1966,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beach Boys - Good Vibrations.mp4,1966,false,true,true
Happy Jack,The Who,7577,RVTR886262,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,1,The Who · Happy Jack,1966,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Who - Happy Jack.mp4,1966,false,true,true
Memphis Soul Stew,king curtis,22267,RVTR029697,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,King Curtis · Memphis Soul Stew,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/King Curtis - Memphis Soul Stew.mp4,1967,true,true,true
The Oogum Boogum Song,brenton wood,16203,RVTR356471,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Brenton Wood · The Oogum Boogum Song,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Brenton Wood - The Oogum Boogum Song.mp4,1967,true,true,true
No Milk Today,herman's hermits,3101,RVTR220597,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,Herman's Hermits · No Milk Today,1966,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Herman's Hermits - No Milk Today.mp4,1966,false,true,true
Lady Godiva,peter and gordon,30037,RVTR860496,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Peter And Gordon · Lady Godiva,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Peter And Gordon - Lady Godiva.mp4,1967,true,true,true
Tell Mama,etta james,30605,RVTR632805,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Etta James · Tell Mama,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Etta James - Tell Mama.mp4,1967,true,true,true
Just One Look,The Hollies,25168,RVTR819065,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,The Hollies · Just One Look,1964,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Hollies - Just One Look.mp4,1964,false,true,true
Morningtown Ride,The Seekers,27569,RVTR470357,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,2,The Seekers · Morningtown Ride,1968,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Seekers - Morningtown Ride.mp4,1968,false,true,true
Itchycoo Park,small faces,28361,RVTR546993,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Small Faces · Itchycoo Park,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Small Faces - Itchycoo Park.mp4,1967,true,true,true
Let's Spend The Night Together,The Rolling Stones,21580,RVTR454529,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Rolling Stones · Let's Spend The Night Together,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - Let's Spend The Night Together.mp4,1967,true,true,true
I Am The Walrus,The Beatles,30314,RVTR614117,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Beatles · I Am The Walrus,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - I Am The Walrus.mp4,1967,true,true,true
Get Together,The Youngbloods,21523,RVTR255222,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,3,The Youngbloods · Get Together,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Youngbloods - Get Together.mp4,1967,true,true,true
Darlin',The Beach Boys,25687,RVTR913274,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Beach Boys · Darlin',1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beach Boys - Darlin'.mp4,1967,true,true,true
Purple Haze,The Jimi Hendrix Experience,15384,RVTR870499,matched,excluded,chart_only,chart_only,performance_year_and_folder_mismatch,Linked ops VIDEO exists but year_text ≠ 1967 and path not under /1960s/ or /1967/,true,false,1,The Jimi Hendrix Experience · Purple Haze,1971,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Jimi Hendrix Experience - Purple Haze.mp4,1971,false,false,true
She's A Rainbow,The Rolling Stones,3827,RVTR601860,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,The Rolling Stones · She's A Rainbow,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - She's A Rainbow.mp4,1967,true,true,true
