rvtr,track_title,track_artist,rvar,album_id,album_title,rval,album_artist,rvar_album_artist,release_year,release_date,track_number,relationship_source,relationship_confidence,relationship_type,artwork_available,billboard_200_membership,cross_artist_relationship,review_status,duplicate_relationship
"RVTR003183","Rub You The Right Way","johnny gill","","34811","Johnny Gill","RVAL170223","johnny gill","RVAR005681","1990","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR003270","Change Clothes","jay-z","","31821","The Black Album","RVAL047137","jay-z","RVAR004494","2003","","5","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR003362","Out Of Sight Out Of Mind","little anthony and the imperials","","32094","The Best Of Little Anthony & The Imperials","RVAL292930","little anthony and the imperials","RVAR004621","1966","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR003384","In Thee","blue oyster cult","","33848","Mirrors","RVAL766975","blue oyster cult","RVAR005233","1979","","9","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR003428","Who Dat","jt money","","34872","Pimpin On Wax","RVAL541923","jt money","RVAR005721","1999","","3","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR003518","The Royal We","silversun pickups","","24574","Swoon","RVAL791085","silversun pickups","RVAR001259","2009","","2","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR003521","Addicted To Love","robert palmer","","22562","Riptide","RVAL585255","robert palmer","RVAR000356","1985","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR003583","Can'T Get Enough","bad company","","27329","Bad Company","RVAL961789","bad company","RVAR002505","1974","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR003593","You Can'T Roller Skate In A Buffalo Herd","roger miller","","34302","Roger Miller","RVAL129236","roger miller","RVAR005441","1969","","8","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR003639","Still The One","orleans","","30048","Waking & Dreaming","RVAL701538","orleans","RVAR003661","1976","","5","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR003641","Linda On My Mind","conway twitty","","30050","25 Number Ones","RVAL237598","conway twitty","RVAR003666","2004","","2","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR003807","Winner Takes It All","sammy hagar","","21723","The Essential Red Collection","RVAL325001","sammy hagar","RVAR000018","2004","","7","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR003894","Brothers In Arms","dire straits","","34144","Brothers In Arms","RVAL389632","dire straits","RVAR005373","1985","","9","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR003974","The Boys Are Back In Town","thin lizzy","","37419","Jailbreak","RVAL218482","thin lizzy","RVAR006187","1976","","6","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR004044","Go Home","stevie wonder","","26802","In Square Circle","RVAL086867","stevie wonder","RVAR002304","1985","","8","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR004070","Charlene","anthony hamilton","","29225","Comin' From Where I'm From","RVAL553623","anthony hamilton","RVAR003377","2003","","2","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR004094","Diamond Sun","glass tiger","","40184","Diamond Sun","RVAL188081","glass tiger","RVAR007533","1988","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR004218","Road Less Traveled","lauren alaina","","28463","Road Less Traveled","RVAL132467","lauren alaina","RVAR003035","2017","","4","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR004237","Hold On","good charlotte","","31389","The Young And The Hopeless","RVAL332833","good charlotte","RVAR004303","2002","","8","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR004298","Piece By Piece","The Tubes","","42672","The Tubes","RVAL903432","The Tubes","RVAR008620","1975","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR004413","Love Rollercoaster","ohio players","","37786","Fire","RVAL915417","ohio players","RVAR006379","1974","","15","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR004611","All Day And All Of The Night","The Kinks","","41548","Kinks-Size","RVAL272870","The Kinks","RVAR008069","1965","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR004664","Yesterday'S Rain","spanky and our gang","","28366","Anything You Choose/Without Rhyme Or Reason","RVAL280302","spanky and our gang","RVAR002986","1969","","6","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR004784","Find A Way","dwele","","34237","Subject","RVAL071134","dwele","RVAR005404","2003","","3","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR004868","The Light","common","","25313","Like Water For Chocolate","RVAL379221","common","RVAR001545","2000","","5","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR004973","Dark Horses","switchfoot","","39070","Vice Verses","RVAL696850","switchfoot","RVAR006924","2011","","8","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR005209","Keep It Together","madonna","","24920","Like A Prayer","RVAL024009","madonna","RVAR001411","1989","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR005225","Big Talk","warrant","","31620","Dirty Rotten Filthy Stinking Rich","RVAL212029","warrant","RVAR004410","1989","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR005272","With You","jessica simpson","","34842","In This Skin","RVAL737123","jessica simpson","RVAR005695","2003","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR005300","Brown Arms In Houston","orpheus","","41139","Joyful","RVAL653003","orpheus","RVAR007855","1969","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005324","Creep","radiohead","","35080","Pablo Honey","RVAL445954","radiohead","RVAR005799","1993","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005337","End Game","taylor swift","","39878","reputation","RVAL379653","taylor swift","RVAR007333","2017","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR005377","Face The Face","pete townshend","","24349","White City - A Novel","RVAL372504","pete townshend","RVAR001162","1985","","2","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR005397","Drunk In Love","beyonce","","39118","Beyonce","RVAL283541","beyonce","RVAR006942","2013","","5","canonical_album_tracks","0.95","","no","yes","no","ok","no"
"RVTR005411","Again","faith evans","","35166","The First Lady","RVAL787129","faith evans","RVAR005843","2005","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005414","Groovy Situation","gene chandler","","21976","The Gene Chandler Situation","RVAL639997","gene chandler","RVAR000122","1970","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR005419","Soul Makossa","afrique","","39281","Soul Makossa","RVAL481611","afrique","RVAR007011","1973","","5","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR005487","No Smoke","youngboy never broke again","","30725","AI YoungBoy","RVAL525553","youngboy never broke again","RVAR003993","2017","","3","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR005503","Your Starter For","elton john","","37609","Blue Moves","RVAL841882","elton john","RVAR006296","1976","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR005528","Friday Is Forever","we the kings","","32871","Sunshine State Of Mind","RVAL293231","we the kings","RVAR004892","2011","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR005579","The Ballad Of John And Yoko","The Beatles","","41409","Hey Jude","RVAL797131","The Beatles","RVAR008038","1970","","10","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005646","Chains","nick jonas","","39114","Nick Jonas","RVAL944601","nick jonas","RVAR006941","2014","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR005653","Rings","cymarron","","33518","Rings","RVAL709446","cymarron","RVAR005128","1971","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005678","Female Of The Species","space","","23488","Spiders","RVAL426002","space","RVAR000846","1997","","3","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005760","You'Re Like Comin' Home","lonestar","","31548","Lonestar","RVAL271515","lonestar","RVAR004365","1996","","1","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR005817","Maria Elena","los indios tabajaras","","35250","Maria Elena","RVAL498476","los indios tabajaras","RVAR005879","1963","","4","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR005837","Gypsy Road","cinderella","","29474","Long Cold Winter","RVAL907695","cinderella","RVAR003432","1988","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR006113","Lust For Life","lana del rey","","32887","Lust For Life","RVAL581890","lana del rey","RVAR004898","2017","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR006125","Me Myself And I","beyonce","","39120","Dangerously In Love","RVAL179249","beyonce","RVAR006942","2003","","14","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR006204","Dancing In The Street","van halen","","27527","Diver Down","RVAL257627","van halen","RVAR002632","1982","","7","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR006254","The Other Side","jason derulo","","28191","Talk Dirty","RVAL850699","jason derulo","RVAR002912","2014","","8","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR006340","Only Happy When It Rains","garbage","","39785","Garbage","RVAL582600","garbage","RVAR007279","1995","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR006415","Stranger In Town","toto","","39480","Isolation","RVAL510599","toto","RVAR007125","1984","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR006419","Don'T Cry","guns n' roses","","32570","Live Era '87 -- '93","RVAL778055","guns n' roses","RVAR004782","1999","","5","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR006430","Float On","The Floaters","","41909","Floaters","RVAL966056","The Floaters","RVAR008260","1977","","6","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR006473","Run To Him","bobby vee","","30887","Bobby Vee's Golden Greats","RVAL166305","bobby vee","RVAR004070","1964","","7","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR006517","Indigo","sam barber","","43488","Restless Mind","RVAL000041","sam barber","RVAR002962","2024","","18","canonical_album_tracks","0.95","","yes","no","no","curated","no"
"RVTR006518","Rubber Biscuit","blues brothers","","25595","The Best Of The Blues Brothers","RVAL212680","blues brothers","RVAR001708","1982","","10","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR006560","The Edge Of Heaven","wham!","","26122","Music From The Edge Of Heaven","RVAL134293","wham!","RVAR001941","1986","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR006587","Gimme Some Lovin'","blues brothers","","25596","The Blues Brothers","RVAL388063","blues brothers","RVAR001708","1980","","3","canonical_album_tracks","1.0","","yes","yes","no","curated","no"
"RVTR006671","We Were Always Sweethearts","boz scaggs","","33757","Moments","RVAL491236","boz scaggs","RVAR005198","1971","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR006843","Little Thing Called Love","neil young","","40667","Trans","RVAL378009","neil young","RVAR007717","1983","","7","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR006916","After You","dionne warwick","","28269","Dionne","RVAL367746","dionne warwick","RVAR002945","1972","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR007058","I Want You So Bad","heart","","32198","Bad Animals","RVAL560504","heart","RVAR004654","1987","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR007118","Let'S Go All The Way","sly fox","","29717","Let's Go All The Way","RVAL910582","sly fox","RVAR003520","1986","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR007135","Don'T Let The Rain Come Down Crooked Little Man","The Serendipity Singers","","41351","The Serendipity Singers","RVAL833816","The Serendipity Singers","RVAR007984","1964","","12","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR007163","You Right","doja cat","","43476","Planet Her","RVAL000006","doja cat","RVAR000853","2021","","8","canonical_album_tracks","1.0","","yes","no","no","curated","no"
"RVTR007164","The Politics Of Dancing","re-flex","","28515","The Politics Of Dancing","RVAL890934","re-flex","RVAR003065","1983","","5","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR007320","Chocolate City","parliament","","34600","Chocolate City","RVAL616987","parliament","RVAR005599","1975","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR007423","Days Like These","asia","","34963","Then & Now","RVAL778401","asia","RVAR005754","1990","","6","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR007608","Race You To The Bottom","billy dean","","30179","Let Them Be Little","RVAL187465","billy dean","RVAR003736","2005","","8","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR007642","You Make Me Feel Mighty Real","jimmy somerville","","25691","Read My Lips","RVAL859291","jimmy somerville","RVAR001755","1990","","2","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR007745","Scream","michael jackson","","39814","HIStory: Past, Present And Future Book 1","RVAL704114","michael jackson","RVAR007298","1995","","15","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR007783","Lucky Me","anne murray","","29854","Somebody's Waiting","RVAL498953","anne murray","RVAR003575","1980","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR007793","Skin Trade","duran duran","","35282","Notorious","RVAL151232","duran duran","RVAR005887","1986","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR007844","I Wish I Was Eighteen Again","george burns","","35368","I Wish I Was Eighteen Again","RVAL773141","george burns","RVAR005918","1980","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR007897","Got To Get It","sisqo","","30068","Unleash The Dragon","RVAL695092","sisqo","RVAR003675","1999","","10","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR007927","My Up And Down","adina howard","","24590","Do You Wanna Ride?","RVAL980926","adina howard","RVAR001270","1995","","6","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR007954","Miss Me Baby","chris cagle","","31091","Anywhere But Here","RVAL348579","chris cagle","RVAR004162","2005","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR008116","Saturday Night","The New Christy Minstrels","","43096","Ramblin' Featuring Green, Green","RVAL188620","The New Christy Minstrels","RVAR008853","1963","","16","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR008144","Foe Life","mack 10","","35429","Mack 10","RVAL668839","mack 10","RVAR005948","1995","","2","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008197","Little Girl","ritchie valens","","33290","The Best Of Ritchie Valens","RVAL080909","ritchie valens","RVAR005033","1987","","11","canonical_album_tracks","0.86","","yes","yes","no","ok","no"
"RVTR008261","Turn The World Around","eddy arnold","","34788","Turn The World Around","RVAL405504","eddy arnold","RVAR005676","1967","","3","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR008277","Help Me","real boston richey","","43493","Richey Rich","RVAL000046","real boston richey","RVAR007497","2024","","9","canonical_album_tracks","0.95","","yes","no","no","curated","no"
"RVTR008301","A Horse With No Name","america","","28220","America","RVAL579560","america","RVAR002928","1972","","5","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008311","La Camisa Negra","juanes","","29683","Mi Sangre","RVAL494723","juanes","RVAR003509","2004","","2","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR008360","The Yard Went On Forever","richard harris","","25529","The Yard Went On Forever...","RVAL964525","richard harris","RVAR001660","1968","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR008408","Praying For Time","george michael","","30654","Listen Without Prejudice, Vol. 1","RVAL001836","george michael","RVAR003969","1990","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR008572","Sophisticated Cissy","The Meters","","42109","The Meters","RVAL661844","The Meters","RVAR008367","1969","","6","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008665","Why Must We Wait Until Tonight","tina turner","","34079","What's Love Got To Do With It (Soundtrack)","RVAL946423","tina turner","RVAR005344","1993","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR008699","I Don'T Wanna Lose You","johnnie taylor","","39175","Johnnie Taylor's Greatest Hits","RVAL452627","johnnie taylor","RVAR006962","1970","","16","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR008762","Smiling Faces Sometimes","The Undisputed Truth","","42060","The Undisputed Truth","RVAL575886","The Undisputed Truth","RVAR008307","1971","","6","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008817","She'S Got Skillz","all-4-one","","30648","All-4-One","RVAL504408","all-4-one","RVAR003964","1994","","7","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008867","Love Me Like You Do","ellie goulding","","28562","Delirium","RVAL597046","ellie goulding","RVAR003092","2015","","9","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008868","Comin Out Strong","future","","38389","HNDRXX","RVAL504744","future","RVAR006614","2017","","2","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR008871","Victorious","panic! at the disco","","30831","Death Of A Bachelor","RVAL312670","panic! at the disco","RVAR004050","2016","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR008896","Showdown","electric light orchestra","","23557","On The Third Day","RVAL350277","electric light orchestra","RVAR000873","1973","","5","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR008975","Steamy Windows","tina turner","","34072","Foreign Affair","RVAL513597","tina turner","RVAR005344","1989","","1","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR009031","If I Ever Lose My Faith In You","sting","","40284","Fields Of Gold - Best Of Sting 1984-1994","RVAL155418","sting","RVAR007576","1994","","7","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
