fileArtist,fileTitle,currentRvtr,proposedRvtr,currentIdentity,proposedIdentity,confidence,simulatedBucket,containmentScore,filePath
Wiz Khalifa Ft. Ty Dolla $Ign & Snoop Dogg,You And Your Friends,RVTR515185,RVTR877378,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Wiz Khalifa feat. Ty Dolla $Ign & Snoop Dogg - You And Your Friends.mp4
DJ Jazzy Jeff & The Fresh Prince,Girls Ain't Nothing But Trouble,RVTR869522,RVTR517941,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/DJ Jazzy Jeff & The Fresh Prince - Girls Ain't Nothing But Trouble.mp4
Frank Sinatra,Theme from New York New York(Concert Collection),RVTR091130,RVTR386913,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Frank Sinatra - Theme from New York New York (Concert Collection).mp4
James Taylor & Carole King,You've Got A Friend,RVTR088598,RVTR582739,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/James Taylor & Carole King - You've Got A Friend (BBC In Concert, 111371).mp4"
Kenny Rogers & The First Edition,Ruby Don t Take Your Love To Town,RVTR710927,RVTR877473,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Kenny Rogers & The First Edition - Ruby Don t Take Your Love To Town.mp4
Martin Solveig & Dragonette,Hello,RVTR293316,RVTR436801,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Martin Solveig & Dragonette - Hello (Official Short Video Version HD).mp4
Meat Loaf,You Took The Words Right Out Of My Mouth (Hot Summer Night),RVTR782414,RVTR745206,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Meat Loaf - You Took The Words Right Out Of My Mouth (Hot Summer Night).mp4
Chris Stapleton & Justin Timberlake,Tennessee Whiskey & Drink You Away,RVTR902509,RVTR669909,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Chris Stapleton & Justin Timberlake - Tennessee Whiskey & Drink You Away.mp4
"Enrique Iglesias Ft. Sean Paul, Descemer Bueno & Gente De Zona",Bailando,RVTR588725,RVTR086428,vdj,hot100_vdj,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Enrique Iglesias feat. Sean Paul, Descemer Bueno & Gente De Zona - Bailando.MP4"
"Rich Gang Ft. Lil Wayne, Birdman, Mack Maine, Nicki Minaj & Future",Tapout,RVTR559317,RVTR701686,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Rich Gang feat. Lil Wayne, Birdman, Mack Maine, Nicki Minaj & Future - Tapout.mp4"
"Dj Khaled Ft. Chris Brown, August Alsina, Future & Jeremih",Hold You Down,RVTR476646,RVTR809671,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Dj Khaled feat. Chris Brown, August Alsina, Future & Jeremih - Hold You Down.MP4"
Brantley Gilbert Ft. Justin Moore & Thomas Rhett,Small Town Throwdown,RVTR284547,RVTR206067,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Brantley Gilbert feat. Justin Moore & Thomas Rhett - Small Town Throwdown.mp4
Flo Rida,Gdfr,RVTR440993,RVTR111857,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Flo Rida - Gdfr.MP4
Len Barry,1 2 3,RVTR456337,RVTR456338,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Len Barry - 1 2 3.mp4
Bee Gees,Alone,RVTR394955,RVTR564950,hot100_vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Bee Gees - Alone.mp4
The B-52's,Roam,RVTR307366,RVTR539573,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The B-52's - Roam.mp4
Slade,My Oh My,RVTR149197,RVTR149198,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Slade - My Oh My.mp4
Joan Jett,"Crimson and Clover (2015) (Tommy James, Dave Grohl and Miley Cyrus)",RVTR729705,RVTR167854,vdj,hot100_vdj,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Joan Jett - Crimson and Clover (2015) (Tommy James, Dave Grohl and Miley Cyrus).mp4"
MC Hammer,Pray,RVTR813499,RVTR959501,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/MC Hammer - Pray.mp4
Elton John & George Michaelhael,Don t Let The Sun Go Down On Me (Live Aid),RVTR868925,RVTR105009,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Elton John & George Michael - Don t Let The Sun Go Down On Me (Live Aid).mp4.mp4).mp4
Jason Derulo feat. Nicki Minaj & Ty Dolla $Ign,Swalla,RVTR815046,RVTR182324,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Jason Derulo - Swalla (Feat. Nicki Minaj & Ty Dolla $Ign) (Official Music Video).mp4
Cure,Love Song,RVTR877684,RVTR966302,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Cure - Love Song.mp4
Zhane,Hey Mr DJ,RVTR685337,RVTR593637,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Zhane - Hey Mr DJ.mp4
Moby,Southside,RVTR449833,RVTR816495,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Moby - Southside.mp4
Jay Z,Can I Get A,RVTR050552,RVTR405889,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Jay Z - Can I Get A.mp4
Hardy,Rednecker,RVTR998494,RVTR860862,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Hardy - Rednecker.mp4
Jay Z,Big Pimpin,RVTR063295,RVTR494036,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Jay Z - Big Pimpin.mp4
KLF,3 A.M. Eternal,RVTR461306,RVTR633543,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/KLF - 3 A.M. Eternal.mp4
Pharcyde,Runnin',RVTR185066,RVTR573099,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Pharcyde - Runnin'.mp4
ABBA,Voulez Vous,RVTR523110,RVTR523111,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/ABBA - Voulez Vous.mp4
LL Cool J,Doin' It,RVTR203207,RVTR627262,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/LL Cool J - Doin' It.mp4
Jessie J,Bang Bang,RVTR328840,RVTR740918,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Jessie J - Bang Bang.MP4
Frankie Goes To Hollywood,"Welcome To The Pleasuredome,Two Tribes & Relax (2004)",RVTR200347,RVTR758008,vdj,hot100_vdj,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Frankie Goes To Hollywood - Welcome To The Pleasuredome,Two Tribes & Relax (2004).mp4"
LL Cool J,Loungin',RVTR547147,RVTR063671,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/LL Cool J - Loungin'.mp4
Slade,Run Runaway,RVTR459129,RVTR459130,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Slade - Run Runaway.mp4
Taylor Swift,Mean,RVTR999122,RVTR757153,hot100_vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Taylor Swift - Mean.mp4
Goodmen,Give It Up,RVTR266105,RVTR862376,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Goodmen - Give It Up.mp4
Moody Blues,Go Now,RVTR393833,RVTR643323,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Moody Blues - Go Now.mp4
Donnie Iris,Ah Leah,RVTR801240,RVTR801241,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Donnie Iris - Ah Leah.mp4
REM,Man On The Moon,RVTR053436,RVTR199531,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/REM - Man On The Moon.mp4
3OH!3,Touchin' On My,RVTR091014,RVTR919813,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/3OH!3 - Touchin' On My.mp4
Heart,Nothin At All,RVTR545172,RVTR657637,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Heart - Nothin At All.mp4
Run DMC,It's Tricky,RVTR494124,RVTR207486,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Run DMC - It's Tricky.mp4
Honey Cone,Want Ads,RVTR551973,RVTR806543,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Honey Cone - Want Ads.mp4
"Zedd, Katy Perry",365,RVTR776435,RVTR359291,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Zedd, Katy Perry - 365.mp4"
Soul Decision,Faded,RVTR175515,RVTR658183,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Soul Decision - Faded.mp4
Beck,Devils Haircut,RVTR026134,RVTR224723,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Beck - Devils Haircut.mp4
The B-52's,Love Shack,RVTR677117,RVTR586454,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The B-52's - Love Shack.mp4
Chic & Slash,Le Freak,RVTR422900,RVTR734067,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Chic & Slash - Le Freak.mp4
John Lennon,Imagine,RVTR950513,RVTR985539,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/John Lennon - Imagine.mp4
Village People,YMCA,RVTR091258,RVTR526570,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Village People - YMCA.mp4
Jay Z,Run This Town,RVTR362357,RVTR518463,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Jay Z - Run This Town.mp4
Flo Rida & T Pain,Low,RVTR652814,RVTR254510,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Flo Rida & T Pain - Low.mp4
John Mayer,Who Says,RVTR581357,RVTR657644,hot100_vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/John Mayer - Who Says.mp4
Shocking Blue,Venus,RVTR135050,RVTR793451,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Shocking Blue - Venus.mp4
Kool & The Gang,Fresh,RVTR422618,RVTR674142,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Fresh.mp4
Young Mc,Bust A Move,RVTR548597,RVTR451991,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Young Mc - Bust A Move.mp4
Genesis,Abacab (Live),RVTR441162,RVTR885648,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Genesis - Abacab (Live).mp4
Dan & Shay,"10,000 Hours",RVTR040912,RVTR848359,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Dan & Shay - 10,000 Hours.mp4"
Toto,Rosanna (Video),RVTR485824,RVTR856595,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Toto - Rosanna (Video).mp4
Dr. John,Iko Iko (1995),RVTR450297,RVTR862077,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Dr. John - Iko Iko (1995).mp4
D Angelo,Brown Sugar,RVTR414062,RVTR027013,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/D Angelo - Brown Sugar.mp4
Tesla,Love Song (1990),RVTR718403,RVTR485826,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Tesla - Love Song (1990).mp4
Culture Beat,Mr Vain,RVTR589831,RVTR589832,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Culture Beat - Mr Vain.mp4
ATeens,Dancing Queen,RVTR182318,RVTR559305,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/ATeens - Dancing Queen.mp4
Trashmen,Surfinbird,RVTR266360,RVTR404390,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Trashmen - Surfinbird.mp4
Kool & The Gang,Joanna,RVTR806294,RVTR792811,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Joanna.mp4
Billy Ocean,Loverboy,RVTR038181,RVTR287285,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Billy Ocean - Loverboy.mp4
Kool & The Gang,Misled,RVTR875130,RVTR328969,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Misled.mp4
Nico & Vinz,Am I Wrong,RVTR219881,RVTR818506,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Nico & Vinz - Am I Wrong.mp4
Bee Gees,Tragedy (Clips),RVTR379700,RVTR806243,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bee Gees - Tragedy (Mix).mp4
System Of A Down,Byob,RVTR628652,RVTR940110,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/System Of A Down - Byob.mp4
Run DMC,Walk This Way,RVTR924441,RVTR993306,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Run DMC - Walk This Way.mp4
REM,Radio Free Europe,RVTR353352,RVTR121019,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/REM - Radio Free Europe.mp4
New Boyz,Youre A Jerk,RVTR781733,RVTR392736,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/New Boyz - Youre A Jerk.mp4
Brooks & Dunn,My Maria,RVTR080332,RVTR733726,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Brooks & Dunn - My Maria.mp4
Xscape,Just Kickin It,RVTR900979,RVTR396672,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Xscape - Just Kickin It.mp4
Shakira Feat. Wyclef Jean,Hips Don't Lie,RVTR051548,RVTR203920,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Shakira - Hips Don't Lie.mp4
BW Stevenson,My Maria,RVTR909971,RVTR458117,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/BW Stevenson - My Maria.mp4
Teena Marie,Lovergirl,RVTR563357,RVTR198831,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Teena Marie - Lovergirl.mp4
The Chantays,Pipeline,RVTR031909,RVTR377978,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Chantays - Pipeline.mp4
'NSYNC,It's Gonna Be Me,RVTR392640,RVTR668403,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/'NSYNC - It's Gonna Be Me.mp4
Uriah Heep,Easy Livin',RVTR570394,RVTR924630,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Uriah Heep - Easy Livin'.MP4
The B-52's,Rock Lobster,RVTR663492,RVTR284275,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The B-52's - Rock Lobster.mp4
Kool & The Gang,Cherish,RVTR899822,RVTR333493,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Cherish.mp4
T Pain & Akon,Bartender,RVTR490515,RVTR751255,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/T Pain & Akon - Bartender.mp4
J. Cole,Foldin' Clothes,RVTR330484,RVTR895822,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/J. Cole - Foldin' Clothes.mp4
Taylor Swift,Our Song,RVTR830086,RVTR449671,hot100_vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Taylor Swift - Our Song.mp4
LL COOL J,Jingling Baby,RVTR452475,RVTR984172,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/LL COOL J - Jingling Baby.mp4
Peaches & Herb,Reunited,RVTR979276,RVTR280043,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Peaches & Herb - Reunited.mp4
Elvis Presley,Trouble (Take1013),RVTR693010,RVTR134693,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Elvis Presley - Trouble.mp4
MC Hammer,2 Legit 2 Quit,RVTR749528,RVTR804597,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/MC Hammer - 2 Legit 2 Quit.mp4
Commodores,Brickhouse,RVTR492410,RVTR734759,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Commodores - Brickhouse.mp4
Killers,Mr. Brightside,RVTR843135,RVTR989769,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Killers - Mr. Brightside.mp4
Wale & Lady Gaga,Chillin,RVTR414471,RVTR330250,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Wale & Lady Gaga - Chillin.mp4
REM,Losing My Religion,RVTR288153,RVTR997737,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/REM - Losing My Religion.mp4
The B-52's,Private Idaho,RVTR209086,RVTR395767,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The B-52's - Private Idaho.mp4
Brooks & Dunn,Neon Moon,RVTR420865,RVTR747493,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Brooks & Dunn - Neon Moon.mp4
Fleetwood Mac,Dreams (The Dance),RVTR438126,RVTR569927,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Fleetwood Mac - Dreams (1).mp4
Pink Floyd,Money (Live),RVTR355619,RVTR651019,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Pink Floyd - Money (Live).mp4
J Geils Band,Centerfold,RVTR231490,RVTR145789,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Centerfold.mp4
Yung Joc,It's Goin Down,RVTR554941,RVTR082310,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Yung Joc - It's Goin Down.mp4
Steve Perry,Oh Sherrie,RVTR809921,RVTR809922,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Steve Perry - Oh Sherrie.mp4
The Hollies,Carrie Anne,RVTR535952,RVTR818860,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Hollies - Carrie Anne.mp4
Akon & Eminem,Smack That,RVTR319680,RVTR338895,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Akon & Eminem - Smack That.mp4
Ghost Town D.J.'s,My Boo,RVTR696802,RVTR426148,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Ghost Town D.J.'s - My Boo.mp4
