rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR652137","","Brand New Draco","21 savage","","","","","","","","","","","","","","",""
"RVTR131667","","Dark Days","21 savage","","","","","","","","","","","","","","",""
"RVTR467987","","Glock In My Lap","21 savage","","","","","","","","","","","","","","",""
"RVTR507718","","Immortal","21 savage","","","","","","","","","","","","","","",""
"RVTR389362","","Letter To My Brudda","21 savage","","","","","","","","","","","","","","",""
"RVTR138682","","Many Men","21 savage","","","","","","","","","","","","","","",""
"RVTR678303","","Mr Right Now","21 savage","","","","","","","","","","","","","","",""
"RVTR543171","","My Choppa Hate N S","21 savage","","","","","","","","","","","","","","",""
"RVTR756253","","My Dawg","21 savage","","","","","","","","","","","","","","",""
"RVTR018499","","N H I E","21 savage","","","","","","","","","","","","","","",""
"RVTR194068","","No Heart","21 savage","","","","","","","","","","","","","","",""
"RVTR080643","","Prove It","21 savage","","","","","","","","","","","","","","",""
"RVTR324783","","Red Opps","21 savage","","","","","","","","","","","","","","",""
"RVTR880805","","Redrum","21 savage","","","","","","","","","","","","","","",""
"RVTR806278","","Rich N Gga Sh T","21 savage","","","","","","","","","","","","","","",""
"RVTR140270","","Rip Luv","21 savage","","","","","","","","","","","","","","",""
"RVTR490172","","Runnin","21 savage","","","","","","","","","","","","","","",""
"RVTR824029","","Said N Done","21 savage","","","","","","","","","","","","","","",""
"RVTR178945","","See The Real","21 savage","","","","","","","","","","","","","","",""
"RVTR900174","","Should'Ve Wore A Bonnet","21 savage","","","","","","","","","","","","","","",""
"RVTR457383","","Slidin","21 savage","","","","","","","","","","","","","","",""
"RVTR383623","","Sneaky","21 savage","","","","","","","","","","","","","","",""
"RVTR786619","","Snitches Rats","21 savage","","","","","","","","","","","","","","",""
"RVTR876520","","Steppin On N Ggas","21 savage","","","","","","","","","","","","","","",""
"RVTR498109","","X","21 savage","","","","","","","","","","","","","","",""
"RVTR185685","","Just Like Me","21 savage, burna boy","","","","","","","","","","","","","","",""
"RVTR855991","","Dangerous","21 savage, lil durk","","","","","","","","","","","","","","",""
"RVTR247526","","Ghostface Killers","21 savage, offset","","","","","","","","","","","","","","",""
"RVTR261875","","Mad Stalkers","21 savage, offset","","","","","","","","","","","","","","",""
"RVTR917481","","Rap Saved Me","21 savage, offset","","","","","","","","","","","","","","",""
"RVTR910149","","Red Sky","21 savage, tommy newport","","","","","","","","","","","","","","",""
"RVTR832148","","Nee Nah","21 savage, travis scott","","","","","","","","","","","","","","",""
"RVTR602008","","When You'Re Young","3 doors down","","","","","","","","","","","","","","",""
"RVTR404456","","Jack The Lad","3 man island","","","","","","","","","","","","","","",""
"RVTR095883","","From Yesterday","30 seconds to mars","","","","","","","","","","","","","","",""
"RVTR139732","","The Kill Bury Me","30 seconds to mars","","","","","","","","","","","","","","",""
"RVTR300969","","Soak City","310babii","","","","","","","","","","","","","","",""
"RVTR528425","","Rockin' Into The Night","38 special","","","","","","","","","","","","","","",""
"RVTR463902","","Teacher Teacher","38 special","","","","","","","","","","","","","","",""
"RVTR440228","","No More Baby I'Ma Do Right","3lw","","","","","","","","","","","","","","",""
"RVTR401031","","Deja Vu","3oh!3","","","","","","","","","","","","","","",""
"RVTR931370","","Don'T Trust Me","3oh!3","","","","","","","","","","","","","","",""
"RVTR668457","","Follow Me Down","3oh!3","","","","","","","","","","","","","","",""
"RVTR510462","","Girls Talk Boys","5 seconds of summer","","","","","","","","","","","","","","",""
"RVTR377120","","She'S Kinda Hot","5 seconds of summer","","","","","","","","","","","","","","",""
"RVTR274064","","Something'S Missing","5 stairsteps and cubie","","","","","","","","","","","","","","",""
"RVTR553265","","The Shadow Of Your Love","5 stairsteps and cubie","","","","","","","","","","","","","","",""
"RVTR848640","","Best Friend","50 Cent & Olivia","","","","","","","","","","","","","","",""
"RVTR861894","","Best Friend","50 cent","","","","","","","","","","","","","","",""
"RVTR221376","","Hustler'S Ambition","50 cent","","","","","","","","","","","","","","",""
"RVTR344885","","If I Can'T","50 cent","","","","","","","","","","","","","","",""
"RVTR809207","","My Life","50 cent","","","","","","","","","","","","","","",""
"RVTR894190","","New Day","50 cent","","","","","","","","","","","","","","",""
"RVTR183099","","Outlaw","50 cent","","","","","","","","","","","","","","",""
"RVTR992893","","Still Will","50 cent","","","","","","","","","","","","","","",""
"RVTR089663","","Give Me Just One Night Una Noche","98 degrees","","","","","","","","","","","","","","",""
"RVTR892256","","Invisible Man","98 degrees","","","","","","","","","","","","","","",""
"RVTR326900","","My Everything","98 degrees","","","","","","","","","","","","","","",""
"RVTR592572","","Rodeo","<a Href=""https://www.billboard.com/artist/lil-nas-x/"">lil Nas X","","","","","","","","","","","","","","",""
"RVTR138174","","96 Tears","?","","","","","","","","","","","","","","",""
"RVTR724782","","Can'T Get Enough Of You Baby","?","","","","","","","","","","","","","","",""
"RVTR903393","","Girl You Captivate Me","?","","","","","","","","","","","","","","",""
"RVTR621100","","I Need Somebody","?","","","","","","","","","","","","","","",""
"RVTR954706","","Move Ya Hips","A$ap Ferg","","","","","","","","","","","","","","",""
"RVTR897214","","Work","A$ap Ferg","","","","","","","","","","","","","","",""
"RVTR018799","","A Ap Forever","A$ap Rocky","","","","","","","","","","","","","","",""
"RVTR226012","","Babushka Boi","A$ap Rocky","","","","","","","","","","","","","","",""
"RVTR919905","","F Kin Problems","A$ap Rocky","","","","","","","","","","","","","","",""
"RVTR815072","","Highjack","A$ap Rocky","","","","","","","","","","","","","","",""
"RVTR724275","","Cold","BigXthaPlug & Post Malone","","","","","","","","","","","","","","",""
"RVTR871294","","White Christmas 1947","Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra","","","","","","","","","","","","","","",""
"RVTR871115","","Fresh Azimiz","Bow Wow Featuring J-Kwon & Jermaine Dupri","","","","","","","","","","","","","","",""
"RVTR809078","","Cashin' Out","Ca$h Out","","","","","","","","","","","","","","",""
"RVTR133716","","Gone Gone Gone","David Guetta, Teddy Swims & Tones And I","","","","","","","","","","","","","","",""
"RVTR646454","","I Think They Like Me","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","","","","","","","","","","","","","","",""
"RVTR136340","","Lean Wit It Rock Wit It","Dem Franchize Boyz Featuring Lil Peanut & Charlay","","","","","","","","","","","","","","",""
"RVTR088166","","Merry Christmas","Ed Sheeran & Elton John","","","","","","","","","","","","","","",""
"RVTR242397","","Jingle Bells","Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins","","","","","","","","","","","","","","",""
"RVTR225334","","Champions","Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner","","","","","","","","","","","","","","",""
"RVTR180639","","Otw","Khalid, Ty Dolla $ign","","","","","","","","","","","","","","",""
"RVTR113187","","Let'S Do It","Lil Baby, Playboi Carti & Skooly","","","","","","","","","","","","","","",""
"RVTR081718","","3Am","Loe Shimmy & Don Toliver","","","","","","","","","","","","","","",""
"RVTR834519","","Is That Your Chick","Memphis Bleek Featuring Jay-Z & Missy Elliott","","","","","","","","","","","","","","",""
"RVTR718788","","Am I Dreaming","Metro Boomin, A$ap Rocky","","","","","","","","","","","","","","",""
"RVTR191787","","Take Me Thru Dere","Metro Boomin, Quavo, Breskii & YKNIECE","","","","","","","","","","","","","","",""
"RVTR282417","","Who I Was","NF & MGK","","","","","","","","","","","","","","",""
"RVTR850479","","Thank God For You Baby","Pg&e","","","","","","","","","","","","","","",""
"RVTR047147","","La Perla","ROSALIA & Yahritza y Su Esencia","","","","","","","","","","","","","","",""
"RVTR098705","","Soda Pop","Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee","","","","","","","","","","","","","","",""
"RVTR174876","","Your Idol","Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee","","","","","","","","","","","","","","",""
"RVTR450387","","Always On Your Side","Sheryl Crow & Sting","","","","","","","","","","","","","","",""
"RVTR688540","","Opus 17 Don'T You Worry 'Bout Me","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR207543","","Santa Claus Is Coming To Town","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR495529","","Sherry","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR364825","","Sincerely","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR586896","","Something'S On Her Mind","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR928287","","Soon I'Ll Be Home Again","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR292775","","Spend The Night In Love","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR815055","","Stay","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR794971","","That'S The Only Way","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR716902","","Walk Like A Man","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR429178","","Watch The Flowers Grow","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR488514","","Will You Love Me Tomorrow","The 4 Seasons","","","","","","","","","","","","","","",""
"RVTR847664","","The Reason","The 5 Chanels","","","","","","","","","","","","","","",""
"RVTR055129","","Dear Prudence","The 5 Stairsteps","","","","","","","","","","","","","","",""
"RVTR097864","","O O H Child Dear Prudence","The 5 Stairsteps","","","","","","","","","","","","","","",""
"RVTR879060","","A Change Is Gonna Come People Gotta Be Free The Declaration","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR476962","","Aquarius Let The Sunshine In The Flesh Failures","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR644020","","Everything'S Been Changed","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR639100","","Flashback","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR089012","","Love Hangover","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR655760","","On The Beach In The Summertime","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR443524","","Paper Cup","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR147730","","Together Let'S Find Love","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR686259","","Up Up And Away","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR733213","","Workin' On A Groovy Thing","The 5th Dimension","","","","","","","","","","","","","","",""
"RVTR915811","","If I Could See The Light","The 8th Day","","","","","","","","","","","","","","",""
"RVTR555410","","She'S Not Just Another Woman","The 8th Day","","","","","","","","","","","","","","",""
"RVTR737375","","You'Ve Got To Crawl Before You Walk","The 8th Day","","","","","","","","","","","","","","",""
"RVTR259499","","Off To Dublin In The Green","The Abbey Tavern Singers","","","","","","","","","","","","","","",""
"RVTR335672","","Wiggle Wiggle","The Accents","","","","","","","","","","","","","","",""
"RVTR335924","","He Ain'T No Angel","The Ad Libs","","","","","","","","","","","","","","",""
"RVTR119566","","The Boy From New York City","The Ad Libs","","","","","","","","","","","","","","",""
"RVTR540919","","Dirty Cash Money Talks","The Adventures Of Stevie V","","","","","","","","","","","","","","",""
"RVTR772138","","Jealousy","The Adventures Of Stevie V","","","","","","","","","","","","","","",""
"RVTR423025","","General Hospi Tale","The Afternoon Delights","","","","","","","","","","","","","","",""
"RVTR245145","","Beautiful Love","The Afters","","","","","","","","","","","","","","",""
"RVTR469982","","Don'T Let It Show","The Alan Parsons Project","","","","","","","","","","","","","","",""
"RVTR815924","","Anyway That You Want Me","The American Breed","","","","","","","","","","","","","","",""
"RVTR913624","","Ready Willing And Able","The American Breed","","","","","","","","","","","","","","",""
"RVTR906635","","Step Out Of Your Mind","The American Breed","","","","","","","","","","","","","","",""
"RVTR147463","","Breaking Up Is Hard On You","The American Comedy Network","","","","","","","","","","","","","","",""
"RVTR760936","","China Doll","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR034537","","Little Serenade","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR518661","","No One But You In My Heart","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR304608","","Pussy Cat","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR101471","","Red River Rose","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR759862","","Someone To Come Home To","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR676173","","Stay","The Ames Brothers","","","","","","","","","","","","","","",""
"RVTR247033","","Cry Baby Cry","The Angels","","","","","","","","","","","","","","",""
"RVTR074603","","My Boyfriend'S Back","The Angels","","","","","","","","","","","","","","",""
"RVTR779415","","'Til","The Angels","","","","","","","","","","","","","","",""
"RVTR986543","","Wow Wow Wee He'S The Boy For Me","The Angels","","","","","","","","","","","","","","",""
"RVTR147877","","Don'T Let Me Be Misunderstood","The Animals","","","","","","","","","","","","","","",""
"RVTR653505","","Gonna Send You Back To Walker Gonna Send You Back To Georgia","The Animals","","","","","","","","","","","","","","",""
"RVTR614795","","I'M Crying","The Animals","","","","","","","","","","","","","","",""
"RVTR907563","","It'S My Life","The Animals","","","","","","","","","","","","","","",""
"RVTR880231","","Dreamer","The Association","","","","","","","","","","","","","","",""
"RVTR666949","","Names Tags Numbers Labels","The Association","","","","","","","","","","","","","","",""
"RVTR374592","","Six Man Band","The Association","","","","","","","","","","","","","","",""
"RVTR367077","","Candy","The Astors","","","","","","","","","","","","","","",""
"RVTR798312","","Naturally Stoned","The Avant-garde","","","","","","","","","","","","","","",""
"RVTR284275","","Rock Lobster","The B-52s","","","","","","","","","","","","","","",""
"RVTR984660","","Meet The Flintstones From The Flintstones","The B.c. 52's","","","","","","","","","","","","","","",""
"RVTR021239","","Give Everybody Some","The Bar-kays","","","","","","","","","","","","","","",""
"RVTR982957","","Shake Your Rump To The Funk","The Bar-kays","","","","","","","","","","","","","","",""
"RVTR929424","","Too Hot To Stop Pt 1","The Bar-kays","","","","","","","","","","","","","","",""
"RVTR317121","","Are You A Boy Or Are You A Girl","The Barbarians","","","","","","","","","","","","","","",""
"RVTR893401","","Moulty","The Barbarians","","","","","","","","","","","","","","",""
"RVTR656585","","Light Of Day","The Barbusters","","","","","","","","","","","","","","",""
"RVTR314665","","Bellas Finals Price Tag Don'T You Forget About Me","The Barden Bellas","","","","","","","","","","","","","","",""
"RVTR755633","","Riff Off Mickey Like A Virgin Hit Me With Your Best Shot","The Barden Bellas, The Treblemakers","","","","","","","","","","","","","","",""
"RVTR601812","","The Topical Song","The Barron Knights","","","","","","","","","","","","","","",""
"RVTR992371","","Hold Me","The Baskerville Hounds","","","","","","","","","","","","","","",""
"RVTR761247","","California Dreamin'","The Beach Boys","","","","","","","","","","","","","","",""
"RVTR845075","","California Saga On My Way To Sunny Californ I A","The Beach Boys","","","","","","","","","","","","","","",""
"RVTR340918","","4 By The Beatles","The Beatles","","","","","","","","","","","","","","",""
"RVTR717197","","Ain'T She Sweet","The Beatles","","","","","","","","","","","","","","",""
"RVTR542800","","Baby It'S You","The Beatles","","","","","","","","","","","","","","",""
"RVTR080577","","Come Together Something","The Beatles","","","","","","","","","","","","","","",""
"RVTR855198","","Four By The Beatles","The Beatles","","","","","","","","","","","","","","",""
"RVTR345509","","Sgt Pepper'S Lonely Hearts Club Band With A Little Help From My Friends","The Beatles","","","","","","","","","","","","","","",""
"RVTR868489","","The Long And Winding Road For You Blue","The Beatles","","","","","","","","","","","","","","",""
"RVTR672178","","Why","The Beatles","","","","","","","","","","","","","","",""
"RVTR013199","","Don'T Talk To Strangers","The Beau Brummels","","","","","","","","","","","","","","",""
"RVTR973711","","Good Time Music","The Beau Brummels","","","","","","","","","","","","","","",""
"RVTR024630","","Laugh Laugh","The Beau Brummels","","","","","","","","","","","","","","",""
"RVTR348084","","You Tell Me Why","The Beau Brummels","","","","","","","","","","","","","","",""
"RVTR028463","","Clap Your Hands","The Beau-marks","","","","","","","","","","","","","","",""
"RVTR476213","","Don'T Phunk With My Heart","The Black Eyed Peas","","","","","","","","","","","","","","",""
"RVTR717960","","Just Can'T Get Enough","The Black Eyed Peas","","","","","","","","","","","","","","",""
"RVTR414313","","Let'S Get It Started","The Black Eyed Peas","","","","","","","","","","","","","","",""
"RVTR473418","","Request Line","The Black Eyed Peas","","","","","","","","","","","","","","",""
"RVTR426733","","Flyin' High","The Blackbyrds","","","","","","","","","","","","","","",""
"RVTR854522","","I Like It","The Blackout Allstars","","","","","","","","","","","","","","",""
"RVTR784552","","Happy","The Blades Of Grass","","","","","","","","","","","","","","",""
"RVTR399915","","Lonely Drifter","pieces of eight","","","","","","","","","","","","","","",""
"RVTR421526","","Morning After","mar-keys","","","","","","","","","","","","","","",""
"RVTR023277","","Night Shift","quarterflash","","","","","","","","","","","","","","",""
"RVTR044793","","Morning After Dark","timbaland","","","","","","","","","","","","","","",""
"RVTR729164","","The Big Draft","The Four Preps","","","","","","","","","","","","","","",""
"RVTR048025","","Sax Fifth Avenue","johnny beecher and his buckingham road quintet","","","","","","","","","","","","","","",""
"RVTR883385","","Time After Time","javier colon","","","","","","","","","","","","","","",""
"RVTR287719","","No Opp Left Behind","21 savage","","","","","","","","","","","","","","",""
"RVTR957706","","After Hours","kehlani","","","","","","","","","","","","","","",""
"RVTR323275","","I Left My Heart In The Balcony","linda scott","","","","","","","","","","","","","","",""
"RVTR282176","","Afterglow","taylor swift","","","","","","","","","","","","","","",""
"RVTR097068","","Time After Time","frankie ford","","","","","","","","","","","","","","",""
"RVTR519967","","Come To Me Softly","jimmy james","","","","","","","","","","","","","","",""
"RVTR981395","","Speak Softly Love","al martino","","","","","","","","","","","","","","",""
"RVTR636284","","The Greatest Gift Of All","kenny rogers","","","","","","","","","","","","","","",""
"RVTR399496","","After The Feeling Is Gone","five flights up","","","","","","","","","","","","","","",""
"RVTR041080","","Gift Of Love","van dykes","","","","","","","","","","","","","","",""
"RVTR492351","","Shifftee","onyx","","","","","","","","","","","","","","",""
"RVTR790379","","Lonely Drifter","The O'jays","","","","","","","","","","","","","","",""
"RVTR308809","","LIFTED","cl","","","","","","","","","","","","","","",""
"RVTR856233","","After Loving You","della reese","","","","","","","","","","","","","","",""
"RVTR923609","","Come Softly To Me","The New Seekers","","","","","","","","","","","","","","",""
"RVTR357748","","Cry Softly","nancy ames","","","","","","","","","","","","","","",""
"RVTR525328","","Kernkraft 400","zombie nation","","","","","","","","","","","","","","",""
"RVTR721274","","Two In The Afternoon","dino, desi","","","","","","","","","","","","","","",""
"RVTR797323","","What'S The Matter Here","10,000 maniacs","","","","","","","","","","","","","","",""
"RVTR428512","","Everything Good Is Bad","100 proof aged in soul","","","","","","","","","","","","","","",""
"RVTR265312","","Somebody'S Been Sleeping","100 proof aged in soul","","","","","","","","","","","","","","",""
"RVTR857164","","I Need You Now","100 strings and jono","","","","","","","","","","","","","","",""
"RVTR963713","","It'S Over Now","112","","","","","","","","","","","","","","",""
"RVTR092977","","Na Na Na","112","","","","","","","","","","","","","","",""
"RVTR750633","","Only You","112","","","","","","","","","","","","","","",""
"RVTR090053","","Dunkie Butt Please Please Please","12 gauge","","","","","","","","","","","","","","",""
"RVTR758954","","1 2 3 Red Light","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR647311","","Goody Goody Gumdrops","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR303856","","Indian Giver","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR311080","","May I Take A Giant Step Into Your Heart","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR701191","","Simon Says","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR992557","","Special Delivery","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR343206","","The Train","1910 fruitgum co","","","","","","","","","","","","","","",""
"RVTR965356","","That'S When I Think Of You","1927","","","","","","","","","","","","","","",""
"RVTR577755","","I'M Different","2 chainz","","","","","","","","","","","","","","",""
"RVTR619238","","It'S A Vibe","2 chainz","","","","","","","","","","","","","","",""
"RVTR651583","","Momma I Hit A Lick","2 chainz","","","","","","","","","","","","","","",""
"RVTR037684","","Rule The World","2 chainz","","","","","","","","","","","","","","",""
"RVTR889275","","Watch Out","2 chainz","","","","","","","","","","","","","","",""
"RVTR515748","","We Own It Fast Furious","2 chainz","","","","","","","","","","","","","","",""
"RVTR256500","","Whip","2 chainz","","","","","","","","","","","","","","",""
"RVTR621444","","Good Drank","2 chainz x gucci mane x quavo","","","","","","","","","","","","","","",""
"RVTR619983","","Bigger You","2 chainz, drake","","","","","","","","","","","","","","",""
"RVTR315518","","Doo Doo Brown","2 hyped brothers","","","","","","","","","","","","","","",""
"RVTR606406","","El Trago The Drink","2 in a room","","","","","","","","","","","","","","",""
"RVTR226195","","Wiggle It","2 in a room","","","","","","","","","","","","","","",""
"RVTR254142","","Walk Tall","2 of clubs","","","","","","","","","","","","","","",""
"RVTR320281","","Short Dick Man","20 fingers","","","","","","","","","","","","","","",""
