VirtualDJ file path,Artist,Title,proposed RVTR,candidate count,disposition,exact evidence,safe-to-auto-assign
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Blues Brothers - Everybody Needs Somebody To Love (Clip).mp4,The Blues Brothers,Everybody Needs Somebody To Love (Clip),RVTR760960,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR760960); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Patty Smyth w_Don Henley - Sometimes Love Just Ain't Enough.mp4,Patty Smyth w:Don Henley,Sometimes Love Just Ain't Enough,RVTR645504,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR645504); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/C+C Music Factory - Gonna Make You Sweat (Everybody Dance Now).mp4,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),RVTR704771,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR704771); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Mitch Ryder & The Detroit Wheels - Jenny Take A Ride _ C C Rider.mp4,Mitch Ryder & The Detroit Wheels,Jenny Take A Ride : C C Rider,RVTR360336,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR360336); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Sly & the Family Stone - Thank You (Falettinme Be Mice Elf Agin).mp4,Sly & the Family Stone,Thank You (Falettinme Be Mice Elf Agin),RVTR494521,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR494521); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Roy Orbison and Elvis Presley - Pretty Woman_Polk Salad Annie.mp4,Roy Orbison and Elvis Presley,Pretty Woman:Polk Salad Annie,RVTR349146,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR349146); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Willie Nelson - Mammas Don't Let Your Babies Grow Up To Be Cowboys.mp4,Willie Nelson,Mammas Don't Let Your Babies Grow Up To Be Cowboys,RVTR694635,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR694635); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/George Thorogood And Destroyers - One Bourbon, One Scotch, One Beer.mp4",George Thorogood And Destroyers,"One Bourbon, One Scotch, One Beer",RVTR896235,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR896235); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Cobra Starship - Send My Love To The Dancefloor, I'll See You In Hell.mp4",Cobra Starship,"Send My Love To The Dancefloor, I'll See You In Hell",RVTR532451,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR532451); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Seals and Crofts - We May Never Pass This Way Again_Summer Breeze (1973).mp4,Seals and Crofts,We May Never Pass This Way Again:Summer Breeze (1973),RVTR676601,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR676601); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Pete Rock & CL Smooth - They Reminisce Over You (Official Video, T.R.O.Y.).mp4",Pete Rock & CL Smooth,Pete Rock & CL Smooth - They Reminisce Over You (T.R.O.Y.) (Official Video),RVTR112602,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR112602); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Freeez - I.O.U.mp4,Freeez,I.O.U.,RVTR420076,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR420076); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Coolio - 1,2,3,4.mp4",Coolio,"1,2,3,4",RVTR558887,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR558887); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Vulfpeck - It Gets Funkier But Everytime It Gets Funkier, It Gets Funkier.mp4",Vulfpeck,"It Gets Funkier But Everytime It Gets Funkier, It Gets Funkier",RVTR064875,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR064875); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Korn - Word Up!.mp4,Korn,Word Up!,RVTR580046,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR580046); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Eiffel 65 - Blue.mp4,Eiffel 65,Blue (Da Ba Dee),RVTR490377,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR490377); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Wilco - She's A Jar (1999-04-21 Irving Plaza, New York, NY) [Best Live Version!].mp4",Wilco,She's A Jar,RVTR424994,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR424994); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Yazoo - Don't Go.mp4,Yazoo,Don't Go,RVTR605833,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR605833); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Lady Gaga - Eh, Eh.mp4",Lady Gaga,"Eh, Eh",RVTR098929,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR098929); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Garth Brooks - Callin’ Baton Rouge.mp4,Garth Brooks,Callin’ Baton Rouge,RVTR161115,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR161115); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Chicago - I'm a Man.mp4,Chicago,I'm a Man,RVTR927157,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR927157); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Wilco - She's A Jar.mp4,Wilco,She's A Jar,RVTR424994,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR424994); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/TroyBoi - Do You_.mp4,TroyBoi,Do You?,RVTR797604,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR797604); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Cher - Dove L'amore.mp4,Cher,Dove L'amore,RVTR122291,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR122291); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Awesome 3 - Don't Go.mp4,Awesome 3,Don't Go,RVTR383649,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR383649); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/LP - When We're High.mp4,LP,When We're High,RVTR258785,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR258785); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Ween - Freedom of '76.mp4,Ween,Freedom of '76,RVTR115788,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR115788); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/2020's/MilkNBones - Miss You, The Happiest Days of Our Lives, Another Brick in The Wall.mp4",MilkNBones,"Miss You, The Happiest Days of Our Lives, Another Brick in The Wall",RVTR245781,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR245781); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Mötley Crüe - Dr. Feelgood.mp4,Mötley Crüe,Dr. Feelgood,RVTR442671,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR442671); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/DJ Jean - Launch, The.mp4",DJ Jean,"Launch, The",RVTR978553,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR978553); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Midland - Mr. Lonely.mp4,Midland,Mr. Lonely,RVTR991350,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR991350); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Dawn Penn - No, No No.mp4",Dawn Penn,"No, No No",RVTR749386,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR749386); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Erasure - Oh L'Amour.mp4,Erasure,Oh L'Amour,RVTR592026,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR592026); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Lou Bega - Mambo No. 5.mp4,Lou Bega,Mambo No. 5,RVTR923612,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR923612); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Beyoncé - Texas Hold 'em.mp4,Beyoncé,Texas Hold 'em,RVTR913603,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR913603); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Cult - Lil' Devil.mp4,The Cult,Lil' Devil,RVTR556998,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR556998); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/RUN DMC - Sucker MC's.mp4,RUN DMC,Sucker MC's,RVTR124228,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR124228); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Green Day - St. Jimmy.mp4,Green Day,St. Jimmy,RVTR168235,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR168235); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Cure - Boys Don't Cry.mp4,Cure,Boys Don't Cry,RVTR314375,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR314375); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Chicago - I'm A Man 1969.mp4,Chicago,I'm A Man,RVTR927157,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR927157); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/AC_DC - Witch's Spell.mp4,AC/DC,Witch's Spell,RVTR434834,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR434834); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Who - Baba O'Reily.mp4,The Who,Baba O'Reily,RVTR189919,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR189919); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Who - Baba O'riley.mp4,The Who,Baba O'riley,RVTR560804,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR560804); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Doors - L.A. Woman.mp4,The Doors,L.A. Woman,RVTR710386,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR710386); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Joywave - It's A Trip!.mp4,Joywave,It's A Trip!,RVTR160551,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR160551); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/CJ and Co - Devil's Gun.mp4,CJ and Co,Devil's Gun,RVTR849337,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR849337); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/No Doubt - Don't Speak.mp4,No Doubt,Don't Speak,RVTR380874,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR380874); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Letoya - She Ain't Got.mp4,Letoya,She Ain't Got,RVTR579511,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR579511); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Ofra Haza - Im Nin' Alu.mp4,Ofra Haza,Im Nin' Alu,RVTR757465,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR757465); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Dokken - It's Not Love.mp4,Dokken,It's Not Love,RVTR416695,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR416695); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/J Lo - Ain't That Funny.mp4,J Lo,Ain't That Funny,RVTR135205,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR135205); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Jackson 5 - Who’s Lovin’ You.mp4,The Jackson 5,Who’s Lovin’ You,RVTR804892,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR804892); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Heart - City's Burning.mp4,Heart,City's Burning,RVTR145316,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR145316); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bootcamp - I'm a Victim.mp4,Bootcamp,I'm a Victim,RVTR013798,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR013798); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/M People - Movin' On Up.mp4,M People,Movin' On Up,RVTR105382,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR105382); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Shape UK - Lola's Theme.mp4,Shape UK,Lola's Theme,RVTR335164,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR335164); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Neil Young - Wonderin'.mp4,Neil Young,Wonderin',RVTR513635,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR513635); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Matchbox Twenty - 3 A.M.mp4,Matchbox Twenty,3 A.M,RVTR920387,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR920387); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Madonna - I'll Remember.mp4,Madonna,I'll Remember,RVTR671711,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR671711); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Shakira - Don't Wait Up.mp4,Shakira,Don't Wait Up,RVTR746459,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR746459); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Clay Walker - That's Us.mp4,Clay Walker,That's Us,RVTR251371,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR251371); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Dmx - Ain't No Sunshine.mp4,Dmx,Ain't No Sunshine,RVTR462106,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR462106); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Stomp - God's Property.mp4,Stomp,God's Property,RVTR509137,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR509137); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Vulfmon - I Can't Party.mp4,Vulfmon,I Can't Party,RVTR028968,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR028968); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Bucketheads - Bomb!, The.mp4",Bucketheads,"Bomb!, The",RVTR475312,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR475312); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Prince - Baby, I'm A Star.mp4",Prince,"Baby, I'm A Star",RVTR853201,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR853201); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Ween - Even If You Don't.mp4,Ween,Even If You Don't,RVTR139537,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR139537); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Cliff Richard - Dreamin'.mp4,Cliff Richard,Dreamin',RVTR257260,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR257260); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/You Found Me - Fray, The.mp4",You Found Me,"Fray, The",RVTR397061,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR397061); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Busta Rhymes - Woo-Hah!!.mp4,Busta Rhymes,Woo-Hah!!,RVTR395502,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR395502); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Weezer - Say It Ain't So.mp4,Weezer,Say It Ain't So,RVTR452576,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR452576); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Clay Walker - Easy Goin'.mp4,Clay Walker,Easy Goin',RVTR785515,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR785515); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Garth Brooks - The Dance.mp4,Garth Brooks,The Dance.,RVTR697799,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR697799); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Greg Khin - Breakup Song.mp4,Greg Khin,Breakup Song (Aoustic),RVTR432876,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR432876); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Kongos - I'm Only Joking.mp4,Kongos,I'm Only Joking,RVTR340312,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR340312); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Alice in Chains - Would_.mp4,Alice in Chains,Would?,RVTR240496,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR240496); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Mann f._50 Cent - Buzzin'.mp4,Mann f./50 Cent,Buzzin',RVTR666430,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR666430); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Gin Wigmore - Don't Stop.mp4,Gin Wigmore,Don't Stop,RVTR503361,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR503361); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Van Halen - Jamie's Cryin.mp4,Van Halen,Jamie's Cryin,RVTR419308,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR419308); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/ABBA - Gimme! Gimme! Gimme!.mp4,ABBA,Gimme! Gimme! Gimme!,RVTR862238,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR862238); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Walker Hayes - Y'all Life.mp4,Walker Hayes,Y'all Life,RVTR435028,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR435028); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Chet Atkins - Mr. Sandman.mp4,Chet Atkins,Mr. Sandman,RVTR401981,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR401981); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Go West - Don't Look Down.mp4,Go West,Don't Look Down,RVTR297354,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR297354); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Rockabilly - I'm So Tired.mp4,Rockabilly,I'm So Tired,RVTR150235,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR150235); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Exposé - What You Don't Know.mp4,Exposé,What You Don't Know,RVTR080066,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR080066); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Bon Jovi - Say It Isn't So.mp4,Bon Jovi,Say It Isn't So,RVTR300948,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR300948); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Saosin - You're Not Alone.mp4,Saosin,You're Not Alone,RVTR217140,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR217140); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Scatterbrain - Don't Call Me Dude.mp4,Scatterbrain,Don't Call Me Dude,RVTR731987,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR731987); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Pink - I Don't Believe You.mp4,Pink,I Don't Believe You,RVTR839896,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR839896); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Creed - Don't Stop Dancing.mp4,Creed,Don't Stop Dancing,RVTR736908,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR736908); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Fastball - You're An Ocean.mp4,Fastball,You're An Ocean,RVTR935317,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR935317); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Traffic - Dear Mr. Fantasy.mp4,Traffic,Dear Mr. Fantasy,RVTR685969,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR685969); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Paul McCartney - Hi, Hi, Hi.mp4",Paul McCartney,"Hi, Hi, Hi",RVTR339552,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR339552); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Muddy Waters - Bye Bye Blues_‏.mp4,Muddy Waters,Bye Bye Blues?‏,RVTR690709,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR690709); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Janet Jackson - Megamix '04.mp4,Janet Jackson,Megamix '04,RVTR896009,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR896009); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Four Tops - Ain't No Woman.mp4,Four Tops,Ain't No Woman,RVTR690933,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR690933); deterministic filename/tag noise.,true
