rvtr,song_title,artist,current_album_relationships,proposed_primary_album,album_id,rval,position,slot_title,evidence,conflict_flags,bucket,final_confidence,write_recommendation
"RVTR046215","No More I Love Yous","annie lennox","none","The Annie Lennox Collection","26385","RVAL776948","4","No More “I Love You’s”","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2009","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR058493","Poprocks Coke","green day","none","International Superhits!","23657","RVAL568949","2","Poprocks & Coke","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2001","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR058557","Disarm","smashing pumpkins","none","{Rotten Apples} Greatest Hits","42823","RVAL053870","6","Disarm","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","missing_chart_year; artist_display_differs_from_canonical_row","B_compilation_only","0.8","remain_unresolved"
"RVTR081301","Hi Hi Hi","wings","none","Wings Greatest","26914","RVAL418086","8","Hi Hi Hi","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978; chart year 1972; chart/album year delta 6","chart_album_year_delta_6","B_compilation_only","0.8","remain_unresolved"
"RVTR083618","Will You Still Love Me Tomorrow","dave mason","none","The Best Of Dave Mason","22157","RVAL307458","4","Will You Still Love Me Tomorrow?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1974; chart year 1978; chart/album year delta 4","chart_album_year_delta_4","B_compilation_only","0.8","remain_unresolved"
"RVTR084968","Gimme Some Lovin","spencer davis group","none","Gimme Some Lovin'","42576","RVAL507744","1","Gimme Some Lovin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1967","missing_chart_year; artist_display_differs_from_canonical_row; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR094777","I Think Were Alone Now","tiffany","none","Tiffany","31933","RVAL517351","9","I Think We’re Alone Now","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1987","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR095194","Stop Look Listen To Your Heart","The Stylistics","none","The Best Of The Stylistics","42260","RVAL756888","22","Stop, Look, Listen To Your Heart","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1975; chart year 1971; chart/album year delta 4","chart_album_year_delta_4","B_compilation_only","0.8","remain_unresolved"
"RVTR098324","Far Away Eyes","rolling stones","none","Some Girls","42308","RVAL930885","6","Far Away Eyes","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR100307","Whole Lotta Shakin' Going On","jerry lee lewis","none","Original Golden Hits - Volume 1","30533","RVAL418206","7","Whole Lotta Shakin' Going On","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1969","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR101553","Belle Banana Pancakes","jack johnson","none","En Concert","30083","RVAL504132","1","Belle / Banana Pancakes","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2009","missing_chart_year","D_live_recording","0.8","remain_unresolved"
"RVTR103854","Fallin'","alicia keys","none","VH1 Storytellers","26590","RVAL299095","6","Fallin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2013; chart year 2001; chart/album year delta 12","chart_album_year_delta_12; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR103855","Fallin'","alicia keys","none","VH1 Storytellers","26590","RVAL299095","6","Fallin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2013","missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR111857","G D F R","flo rida","none","R.O.O.T.S. (Route Of Overcoming The Struggle)","29644","RVAL465835","9","R.O.O.T.S.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2009; chart year 2014; chart/album year delta 5","normalized_title_mismatch; chart_album_year_delta_5","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR112422","Doin' Time","sublime","none","Greatest Hits","26713","RVAL147770","9","Doin’ Time","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR119748","Ill Always Love You","taylor dayne","none","Tell It To My Heart","26641","RVAL117976","4","I’ll Always Love You","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1988","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR133803","Dont Bring Me Down","electric light orchestra","none","All Over The World: The Very Best Of Electric Light Orchestra","23546","RVAL127409","3","Don’t Bring Me Down","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2012","normalized_title_mismatch; missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR140687","D I V O R C E","tammy wynette","none","Tammy's Greatest Hits","29650","RVAL769189","5","D‐I‐V‐O‐R‐C‐E","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1969","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR150095","Power Of Love Love Power","luther vandross","none","One Night With You -- The Best Of Love Volume 2","25214","RVAL229003","13","Power Of Love / Love Power","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1997","missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR150096","Power Of Love Love Power","luther vandross","none","One Night With You -- The Best Of Love Volume 2","25214","RVAL229003","13","Power Of Love / Love Power","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1997; chart year 1991; chart/album year delta 6","chart_album_year_delta_6; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR151405","You Gotta Fight For Your Right To Party","beastie boys","none","Beastie Boys Anthology: The Sounds Of Science","26297","RVAL726878","32","(You Gotta ) Fight For Your Right (To Party)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999; chart year 1986; chart/album year delta 13","chart_album_year_delta_13","B_compilation_only","0.8","remain_unresolved"
"RVTR152624","Whod She Coo","ohio players","none","Contradiction","37783","RVAL042529","5","Who’d She Coo?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1976","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR153215","Walkin' On The Sun","smash mouth","none","All Star: The Smash Hits","27928","RVAL287910","8","Walkin' On The Sun","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2005","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR158408","We Are All To Blame","sum 41","none","All The Good Sh**: 14 Solid Gold Hits 2000 - 2008","30998","RVAL696003","15","We're All To Blame","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2009","normalized_title_mismatch; missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR159065","Pushin' Weight","ice cube","none","Greatest Hits","34936","RVAL576473","1","Pushin’ Weight","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001; chart year 1998; chart/album year delta 3","chart_album_year_delta_3","B_compilation_only","0.8","remain_unresolved"
"RVTR161536","Sadeness Part I","enigma","none","The Fall Of A Rebel Angel","30263","RVAL544102","7","Sadeness, Part II","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2016","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR162328","Your Good Girls Gonna Go Bad","tammy wynette","none","Tammy's Greatest Hits","29650","RVAL769189","7","Your Good Girl’s Gonna Go Bad","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1969","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR166486","You Cant Sit Down","dovells","none","You Can't Sit Down","42962","RVAL669715","1","You Can’t Sit Down","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1963","normalized_title_mismatch; missing_chart_year; artist_display_differs_from_canonical_row","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR176439","Lets Ride","montell jordan","none","Let's Ride","40405","RVAL602123","3","Let’s Ride","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1998","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR185153","Stop Draggin' My Heart Around","stevie nicks","none","Crystal Visions... The Very Best Of Stevie Nicks","31509","RVAL505516","5","Stop Draggin’ My Heart Around","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2007","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR193964","They Dont Know","jon b","none","Cool Relax","25540","RVAL482030","4","They Don’t Know","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1997","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR195503","Love Pride","king","none","Steps In Time","29994","RVAL354293","2","Love & Pride","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1985","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR199155","Try Yah Love","third world","none","You've Got The Power","22368","RVAL162872","1","Try Jah Love","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1982","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR199498","Please Mr Sun","The Vogues","none","The Vogues' Greatest Hits","42740","RVAL892629","12","Please Mr Sun","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1970; chart year 1966; chart/album year delta 4","chart_album_year_delta_4","B_compilation_only","0.8","remain_unresolved"
"RVTR209007","Can You Feel The Love Tonight","elton john","none","Greatest Hits, Vol. III 1979-1987","37623","RVAL953032","7","Can You Feel The Love Tonight?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1987","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR213083","Me Mr Jones","amy winehouse","none","Back To Black","39608","RVAL460130","3","Me & Mr Jones","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2007","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR225048","H Y B","j. cole","none","2014 Forest Hills Drive","29379","RVAL895245","8","G.O.M.D.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2014; chart year 2024; chart/album year delta 10","normalized_title_mismatch; chart_album_year_delta_10","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR236629","Good Man","emerson drive","none","Countrified","26348","RVAL729983","1","A Good Man","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2007","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR237801","Whats Your Fantasy","ludacris","none","Back For The First Time","24196","RVAL225632","4","What’s Your Fantasy","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2000","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR245483","Green Grass And High Tides","outlaws","none","Bring It Back Alive","42729","RVAL773572","3","Green Grass And High Tides","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR257408","Do You Mind","andy williams","none","Canadian Sunset","31773","RVAL626572","4","Do You Mind","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1965; chart year 1960; chart/album year delta 5","chart_album_year_delta_5","A_original_studio_album_clearly_identifiable","0.95","bob_review"
"RVTR263243","Uncle Albert Admiral Halsey","paul mccartney","none","Wingspan: Hits And History","25870","RVAL291488","6","Uncle Albert/Admiral Halsey","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR265778","20 75","willie mitchell","none","Willie Mitchell Live","35177","RVAL472389","1","20 - 75","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1968; chart year 1964; chart/album year delta 4","chart_album_year_delta_4","D_live_recording","0.8","remain_unresolved"
"RVTR272016","Sexy M F","prince","none","The Hits/The B-Sides","38948","RVAL202261","28","Sexy M.F.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1993","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR282193","Oh Well Pt I","fleetwood mac","none","50 Years: Don't Stop","34685","RVAL335875","6","Oh Well, Pt. I","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2018; chart year 1970; chart/album year delta 48","chart_album_year_delta_48","A_original_studio_album_clearly_identifiable","0.95","bob_review"
"RVTR284305","Hello Darlin'","conway twitty","none","25 Number Ones","30050","RVAL237598","3","Hello Darlin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2004; chart year 1970; chart/album year delta 34","chart_album_year_delta_34; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR284306","Hello Darlin'","conway twitty","none","25 Number Ones","30050","RVAL237598","3","Hello Darlin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2004","missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR292313","Mo Onions","booker t","none","Booker T. & Priscilla","23074","RVAL216347","4","Mo' Onions","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1971; chart year 1964; chart/album year delta 7","chart_album_year_delta_7","A_original_studio_album_clearly_identifiable","0.95","bob_review"
"RVTR298286","Stayin Alive","The Bee Gees","none","The Ultimate Bee Gees","24118","RVAL717620","2","Stayin’ Alive","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2009","missing_chart_year; artist_display_differs_from_canonical_row; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR300220","Freedom '90","george michael","none","Ladies & Gentlemen: The Best Of George Michael","30653","RVAL310476","4","Freedom! ’90","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1998","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR301861","Run Run Look And See","brian hyland","none","Brian Hyland","32932","RVAL490389","16","Run Run Look And See","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1971; chart year 1966; chart/album year delta 5","chart_album_year_delta_5","A_original_studio_album_clearly_identifiable","0.95","bob_review"
"RVTR306794","Do You Remember Remember","jack johnson","none","En Concert","30083","RVAL504132","3","Do You Remember / Remember","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2009","missing_chart_year","D_live_recording","0.8","remain_unresolved"
"RVTR308904","Im So Proud","impressions","none","The Never Ending Impressions","43117","RVAL838804","8","I’m So Proud","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1964","normalized_title_mismatch; missing_chart_year; artist_display_differs_from_canonical_row","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR312836","Dreams","corrs","none","Talk On Corners: Special Edition","42433","RVAL614290","13","Dreams","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR313344","Its My Life","no doubt","none","The Singles 1992-2003","39381","RVAL781004","2","It’s My Life","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2003","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR320726","We Dont Need Another Hero","tina turner","none","Tina Live","34075","RVAL223757","7","We Don’t Need Another Hero","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2009","normalized_title_mismatch; missing_chart_year","D_live_recording","0.8","remain_unresolved"
"RVTR323924","Blowin In The Wind","stevie wonder","none","Stevie Wonder Live","26813","RVAL347884","12","Blowin' In The Wind","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1970; chart year 1966; chart/album year delta 4","chart_album_year_delta_4","D_live_recording","0.8","remain_unresolved"
"RVTR324450","Baby We Better Try To Get It Together","barry white","none","The Best Of Barry White: 20th Century Masters The Millennium Collection","21948","RVAL475419","11","Baby We Better Try To Get It Together","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2003; chart year 1976; chart/album year delta 27","chart_album_year_delta_27","B_compilation_only","0.8","remain_unresolved"
"RVTR331509","Yes We Can Can","pointer sisters","none","The Pointer Sisters","42504","RVAL909077","1","Yes We Can, Can","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1973","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR331687","Ghost Town","benson boone","none","Fireworks & Rollerblades","43492","RVAL000045","12","Ghost Town","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2024; chart year 2021; chart/album year delta 3","chart_album_year_delta_3","A_original_studio_album_clearly_identifiable","0.95","bob_review"
"RVTR332790","I Dont Want Your Love","duran duran","none","Big Thing","35274","RVAL365870","2","I Don’t Want Your Love","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1988","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR341576","Bottle Pop","pussycat dolls","none","Doll Domination","41754","RVAL784368","18","Bottle Pop","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2008","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR351940","X","xzibit","none","Weapons Of Mass Destruction","24252","RVAL679248","1","LAX","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2005; chart year 2000; chart/album year delta 5","normalized_title_mismatch; chart_album_year_delta_5","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR355087","Girls","prodigy","none","Always Outnumbered, Never Outgunned","41167","RVAL863701","2","Girls","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2004","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR373547","Dont Wanna Try","frankie j","none","What's A Man To Do?","28352","RVAL194137","1","Don’t Wanna Try","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2003","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR374145","Bye Bye Love","everly brothers","none","The Everly Brothers' Original Greatest Hits","43292","RVAL035285","1","Bye, Bye Love","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1970","missing_chart_year; artist_display_differs_from_canonical_row","B_compilation_only","0.8","remain_unresolved"
"RVTR393068","Whats Up","4 non blondes","none","Bigger, Better, Faster, More!","37413","RVAL995742","3","What’s Up","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1993","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR394128","E I","nelly","none","Brass Knuckles","37824","RVAL642546","3","LA","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2008","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR404234","Ooh La La","The Faces","none","Ooh La La","37399","RVAL160428","10","Ooh La La","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1973","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR412783","Funk 49","joe walsh","none","The Best Of Joe Walsh","31993","RVAL430884","5","Funk #49","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR414111","Lets Do It Again","staple singers","none","Let's Do It Again","41589","RVAL560708","1","Let’s Do It Again","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1975","normalized_title_mismatch; missing_chart_year; artist_display_differs_from_canonical_row","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR417691","Self Esteem","offspring","none","Smash","41672","RVAL943826","8","Self Esteem","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1994","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR418733","Jumpin' Jumpin'","destiny's child","none","Playlist: The Very Best Of Destiny's Child","22549","RVAL430196","4","Jumpin’, Jumpin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2012","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR425995","Together We Can Make Such Sweet Music","The Spinners","none","2nd Time Around","26569","RVAL639640","3","Together We Can Make Such Sweet Music","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1970; chart year 1973; chart/album year delta 3","chart_album_year_delta_3; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR426956","Spitfire","prodigy","none","Always Outnumbered, Never Outgunned","41167","RVAL863701","1","Spitfire","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2004","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR457109","The Main Event Fight","barbra streisand","none","A Collection: Greatest Hits...And More","27798","RVAL374288","6","The Main Event / Fight","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1989","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
