rvtr,song_title,artist,current_album_relationships,proposed_primary_album,album_id,rval,position,slot_title,evidence,conflict_flags,bucket,final_confidence,write_recommendation
"RVTR030079","Whose Problem","The Motels","none","Careful","42506","RVAL157782","8","Whose Problem?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1980","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR035840","Drivin' With Your Eyes Closed","don henley","none","Building The Perfect Beast","34853","RVAL974823","10","Drivin’ With Your Eyes Closed","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1984","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR036292","Crazy Ex Girlfriend","miranda lambert","none","Crazy Ex-Girlfriend","27404","RVAL041951","4","Crazy Ex‐Girlfriend","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2007","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR039831","Burnin' Sky","bad company","none","Burnin' Sky","27330","RVAL156828","1","Burnin’ Sky","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1977","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR039892","You Are The One That I Want","olivia newton-john","none","Back To Basics/Essential Collection 1971-1992","25471","RVAL482223","14","You're The One That I Want","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1992","normalized_title_mismatch; missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR041069","Feel Like Makin' Love","kid rock","none","Kid Rock","26632","RVAL060468","3","Feel Like Makin’ Love","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2003","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR043084","Never Lookin' Back","kenny wayne shepherd band","none","How I Go","43175","RVAL013529","1","Never Lookin’ Back","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2011","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR045340","Juicy","doja cat","none","Hot Pink","43547","RVAL000107","12","Juicy","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2021; chart year 2019; chart/album year delta 2","","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR045850","Digital Did You Tell","stone sour","none","Audio Secrecy","35433","RVAL931084","3","Digital (Did You Tell)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2010","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR046215","No More I Love Yous","annie lennox","none","The Annie Lennox Collection","26385","RVAL776948","4","No More “I Love You’s”","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2009","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR058383","Polka Power","""weird al"" yankovic","none","Running With Scissors","40744","RVAL534676","7","Polka Power!","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR058493","Poprocks Coke","green day","none","International Superhits!","23657","RVAL568949","2","Poprocks & Coke","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2001","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR058557","Disarm","smashing pumpkins","none","{Rotten Apples} Greatest Hits","42823","RVAL053870","6","Disarm","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","missing_chart_year; artist_display_differs_from_canonical_row","B_compilation_only","0.8","remain_unresolved"
"RVTR063784","Foreplay Long Time","boston","none","Boston","34039","RVAL811647","3","Foreplay / Long Time","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1976","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR075739","Your Cheatin' Heart","charlie rich","none","Charlie Rich Sings The Songs Of Hank Williams & Others","33181","RVAL027530","12","Your Cheatin' Heart","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1974","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR077785","Country Folks Livin' Loud","The Lost Trailers","none","Holler Back","43249","RVAL213935","4","Country Folks (Livin' Loud)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2008","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR081301","Hi Hi Hi","wings","none","Wings Greatest","26914","RVAL418086","8","Hi Hi Hi","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978; chart year 1972; chart/album year delta 6","chart_album_year_delta_6","B_compilation_only","0.8","remain_unresolved"
"RVTR083618","Will You Still Love Me Tomorrow","dave mason","none","The Best Of Dave Mason","22157","RVAL307458","4","Will You Still Love Me Tomorrow?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1974; chart year 1978; chart/album year delta 4","chart_album_year_delta_4","B_compilation_only","0.8","remain_unresolved"
"RVTR084968","Gimme Some Lovin","spencer davis group","none","Gimme Some Lovin'","42576","RVAL507744","1","Gimme Some Lovin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1967","missing_chart_year; artist_display_differs_from_canonical_row; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR094777","I Think Were Alone Now","tiffany","none","Tiffany","31933","RVAL517351","9","I Think We’re Alone Now","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1987","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR095194","Stop Look Listen To Your Heart","The Stylistics","none","The Best Of The Stylistics","42260","RVAL756888","22","Stop, Look, Listen To Your Heart","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1975; chart year 1971; chart/album year delta 4","chart_album_year_delta_4","B_compilation_only","0.8","remain_unresolved"
"RVTR098324","Far Away Eyes","rolling stones","none","Some Girls","42308","RVAL930885","6","Far Away Eyes","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR100307","Whole Lotta Shakin' Going On","jerry lee lewis","none","Original Golden Hits - Volume 1","30533","RVAL418206","7","Whole Lotta Shakin' Going On","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1969","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR100802","Ohio Come Back To Texas","bowling for soup","none","A Hangover You Don't Deserve","35126","RVAL590934","5","Ohio (Come Back To Texas)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2004","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR101553","Belle Banana Pancakes","jack johnson","none","En Concert","30083","RVAL504132","1","Belle / Banana Pancakes","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2009","missing_chart_year","D_live_recording","0.8","remain_unresolved"
"RVTR103854","Fallin'","alicia keys","none","VH1 Storytellers","26590","RVAL299095","6","Fallin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2013; chart year 2001; chart/album year delta 12","chart_album_year_delta_12; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR103855","Fallin'","alicia keys","none","VH1 Storytellers","26590","RVAL299095","6","Fallin’","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2013","missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR111857","G D F R","flo rida","none","R.O.O.T.S. (Route Of Overcoming The Struggle)","29644","RVAL465835","9","R.O.O.T.S.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2009; chart year 2014; chart/album year delta 5","normalized_title_mismatch; chart_album_year_delta_5","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR112422","Doin' Time","sublime","none","Greatest Hits","26713","RVAL147770","9","Doin’ Time","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR119748","Ill Always Love You","taylor dayne","none","Tell It To My Heart","26641","RVAL117976","4","I’ll Always Love You","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1988","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR123406","Gangstas Paradise","coolio","none","Gangsta's Paradise","38716","RVAL285025","2","Gangsta’s Paradise","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1995","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR133803","Dont Bring Me Down","electric light orchestra","none","All Over The World: The Very Best Of Electric Light Orchestra","23546","RVAL127409","3","Don’t Bring Me Down","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2012","normalized_title_mismatch; missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR140687","D I V O R C E","tammy wynette","none","Tammy's Greatest Hits","29650","RVAL769189","5","D‐I‐V‐O‐R‐C‐E","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1969","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR145027","Wish You Were Dead","lola young","none","This Wasn’t Meant For You Anyway","43485","RVAL000038","2","Wish You Were Dead","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2024","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR146378","Wild Eyed Southern Boys","38 special","none","Wild-Eyed Southern Boys","32107","RVAL358514","3","Wild‐Eyed Southern Boys","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1981","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR150095","Power Of Love Love Power","luther vandross","none","One Night With You -- The Best Of Love Volume 2","25214","RVAL229003","13","Power Of Love / Love Power","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1997","missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR150096","Power Of Love Love Power","luther vandross","none","One Night With You -- The Best Of Love Volume 2","25214","RVAL229003","13","Power Of Love / Love Power","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1997; chart year 1991; chart/album year delta 6","chart_album_year_delta_6; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR151405","You Gotta Fight For Your Right To Party","beastie boys","none","Beastie Boys Anthology: The Sounds Of Science","26297","RVAL726878","32","(You Gotta ) Fight For Your Right (To Party)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999; chart year 1986; chart/album year delta 13","chart_album_year_delta_13","B_compilation_only","0.8","remain_unresolved"
"RVTR152624","Whod She Coo","ohio players","none","Contradiction","37783","RVAL042529","5","Who’d She Coo?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1976","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR153215","Walkin' On The Sun","smash mouth","none","All Star: The Smash Hits","27928","RVAL287910","8","Walkin' On The Sun","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2005","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR158408","We Are All To Blame","sum 41","none","All The Good Sh**: 14 Solid Gold Hits 2000 - 2008","30998","RVAL696003","15","We're All To Blame","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2009","normalized_title_mismatch; missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR159065","Pushin' Weight","ice cube","none","Greatest Hits","34936","RVAL576473","1","Pushin’ Weight","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001; chart year 1998; chart/album year delta 3","chart_album_year_delta_3","B_compilation_only","0.8","remain_unresolved"
"RVTR161536","Sadeness Part I","enigma","none","The Fall Of A Rebel Angel","30263","RVAL544102","7","Sadeness, Part II","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2016","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR162328","Your Good Girls Gonna Go Bad","tammy wynette","none","Tammy's Greatest Hits","29650","RVAL769189","7","Your Good Girl’s Gonna Go Bad","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1969","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR163515","I G Y","donald fagen","none","The Nightfly","22424","RVAL704416","9","I.G.Y.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1982","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR163712","Baby Baby Baby","tlc","none","20","34267","RVAL478797","3","Baby‐Baby‐Baby","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2013","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR166486","You Cant Sit Down","dovells","none","You Can't Sit Down","42962","RVAL669715","1","You Can’t Sit Down","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1963","normalized_title_mismatch; missing_chart_year; artist_display_differs_from_canonical_row","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR168235","St Jimmy","green day","none","Bullet In A Bible","23651","RVAL644084","5","St. Jimmy","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2005","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR170490","Drinkin' Bone","tracy byrd","none","The Truth About Men","22130","RVAL530303","1","Drinkin’ Bone","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2003","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR176439","Lets Ride","montell jordan","none","Let's Ride","40405","RVAL602123","3","Let’s Ride","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1998","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR177519","Perhaps Perhaps Perhaps","cake","none","Fashion Nugget","29885","RVAL631048","9","Perhaps, Perhaps, Perhaps","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1996","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR178658","Drivin' My Life Away","eddie rabbitt","none","Horizon","30710","RVAL531370","3","Drivin’ My Life Away","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1980","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR185153","Stop Draggin' My Heart Around","stevie nicks","none","Crystal Visions... The Very Best Of Stevie Nicks","31509","RVAL505516","5","Stop Draggin’ My Heart Around","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2007","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR190370","Question","system of a down","none","Mezmerize","26623","RVAL150248","8","Question!","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2005","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR191560","Johnny B Goode","elton john","none","Victim Of Love","37650","RVAL835768","1","Johnny B. Goode","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1979","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR191573","Susie Dramas","elton john","none","Honky Chateau","37625","RVAL468685","11","Susie (Dramas)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1972","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR193964","They Dont Know","jon b","none","Cool Relax","25540","RVAL482030","4","They Don’t Know","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1997","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR195395","Peek A Boo","devo","none","Oh No! It's Devo","37578","RVAL300068","2","Peek·A·Boo!","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1982","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR195503","Love Pride","king","none","Steps In Time","29994","RVAL354293","2","Love & Pride","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1985","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR199155","Try Yah Love","third world","none","You've Got The Power","22368","RVAL162872","1","Try Jah Love","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 1982","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR199498","Please Mr Sun","The Vogues","none","The Vogues' Greatest Hits","42740","RVAL892629","12","Please Mr Sun","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1970; chart year 1966; chart/album year delta 4","chart_album_year_delta_4","B_compilation_only","0.8","remain_unresolved"
"RVTR209007","Can You Feel The Love Tonight","elton john","none","Greatest Hits, Vol. III 1979-1987","37623","RVAL953032","7","Can You Feel The Love Tonight?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1987","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR213083","Me Mr Jones","amy winehouse","none","Back To Black","39608","RVAL460130","3","Me & Mr Jones","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2007","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR216814","Girl Panic","duran duran","none","All You Need Is Now","35271","RVAL207450","6","Girl Panic!","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2011","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR225048","H Y B","j. cole","none","2014 Forest Hills Drive","29379","RVAL895245","8","G.O.M.D.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2014; chart year 2024; chart/album year delta 10","normalized_title_mismatch; chart_album_year_delta_10","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR230404","They Long To Be Close To You","gwen guthrie","none","Good To Go Lover","25900","RVAL998913","1","(They Long To Be) Close To You","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1986","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR236629","Good Man","emerson drive","none","Countrified","26348","RVAL729983","1","A Good Man","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2007","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR237801","Whats Your Fantasy","ludacris","none","Back For The First Time","24196","RVAL225632","4","What’s Your Fantasy","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2000","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR240496","Would","alice in chains","none","Nothing Safe","39081","RVAL303753","1","Would?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR245483","Green Grass And High Tides","outlaws","none","Bring It Back Alive","42729","RVAL773572","3","Green Grass And High Tides","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1978","missing_chart_year; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR257408","Do You Mind","andy williams","none","Canadian Sunset","31773","RVAL626572","4","Do You Mind","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1965; chart year 1960; chart/album year delta 5","chart_album_year_delta_5","A_original_studio_album_clearly_identifiable","0.95","bob_review"
"RVTR257567","Dream 1","elton john","none","The Diving Board","37642","RVAL315252","5","Dream #1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2013","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR263243","Uncle Albert Admiral Halsey","paul mccartney","none","Wingspan: Hits And History","25870","RVAL291488","6","Uncle Albert/Admiral Halsey","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR265778","20 75","willie mitchell","none","Willie Mitchell Live","35177","RVAL472389","1","20 - 75","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1968; chart year 1964; chart/album year delta 4","chart_album_year_delta_4","D_live_recording","0.8","remain_unresolved"
"RVTR272016","Sexy M F","prince","none","The Hits/The B-Sides","38948","RVAL202261","28","Sexy M.F.","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1993","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR278566","You Make Me Feel Like A Natural Woman","carole king","none","The Legendary Demos","34523","RVAL936085","4","(You Make Me Feel Like) A Natural Woman","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2012","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR282193","Oh Well Pt I","fleetwood mac","none","50 Years: Don't Stop","34685","RVAL335875","6","Oh Well, Pt. I","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2018; chart year 1970; chart/album year delta 48","chart_album_year_delta_48","A_original_studio_album_clearly_identifiable","0.95","bob_review"
